0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32, Private,215433, HS-grad,10, Married-civ-spouse, Sales, Not-in-family, White, Male,474,7,39, United-States, <=50K
38, Private,207352, Bachelors,13, Never-married, Other-service, Husband, Asian-Pac-Islander, Male,66,0,43, United-States, >50K
73, State-gov,74040, HS-grad,10, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,53,40, United-States, <=50K
39, Private,174924, HS-grad,10, Separated, Exec-managerial, Husband, White, Male,570,0,39, United-States, >50K
31, Private,264936, HS-grad,11, Never-married, Adm-clerical, Not-in-family, White, Male,1076,54,40, United-States, <=50K
29, Private,167501, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,513,0,38, United-States, <=50K
33, Private,200760, HS-grad,10, Never-married, Adm-clerical, Unmarried, White, Female,651,6,40, United-States, <=50K
45, Local-gov,98361, Some-college,11, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
25, Private,172879, HS-grad,5, Never-married, Other-service, Husband, White, Female,68,0,40, Nicaragua, <=50K
54, Private,162439, HS-grad,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,645,36,42, United-States, >50K
36, Private,190987, Some-college,10, Divorced, Exec-managerial, Husband, White, Male,7298,59,43, United-States, >50K
43, Private,211712, HS-grad,10, Divorced, Adm-clerical, Unmarried, White, Female,539,60,35, United-States, <=50K
32, Private,189279, HS-grad,10, Divorced, Sales, Husband, White, Male,0,14,42, United-States, >50K
36, Private,175979, HS-grad,9, Married-civ-spouse, Armed-Forces, Husband, White, Male,0,12,40, United-States, <=50K
46, Private,174638, Bachelors,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,13,41, United-States, >50K
37, Private,185630, HS-grad,11, Divorced, ?, Not-in-family, White, Female,391,0,40, United-States, <=50K
40, Private,163342, HS-grad,9, Divorced, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
40, Private,251479, Assoc-acdm,10, Never-married, Other-service, Husband, White, Male,250,51,37, United-States, <=50K
24, Private,259510, HS-grad,10, Married-civ-spouse, ?, Husband, White, Male,551,13,43, United-States, <=50K
47, Self-emp-not-inc,183643, HS-grad,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,28,42, United-States, <=50K
32, Self-emp-not-inc,247286, Bachelors,13, Never-married, ?, Not-in-family, Black, Male,1023,132,38, United-States, <=50K
41, Private,220460, HS-grad,10, Married-civ-spouse, ?, Husband, White, Male,497,0,42, United-States, <=50K
29, Private,137421, Some-college,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,46, Trinadad&Tobago, <=50K
35, Self-emp-not-inc,185848, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,500,18,50, United-States, <=50K
34, Private,219371, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,21,36, United-States, <=50K
37, Private,308028, Some-college,10, Never-married, Tech-support, Husband, White, Male,402,-3,40, United-States, <=50K
43, Private,169453, Bachelors,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,274,44, United-States, <=50K
45, Private,171510, HS-grad,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,42,45, United-States, <=50K
39, Private,205839, Prof-school,10, Married-civ-spouse, Armed-Forces, Husband, White, Male,626,0,40, United-States, <=50K
36, Private,277342, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,195,40, United-States, <=50K
51, Self-emp-inc,119891, Bachelors,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,298,1672,44, United-States, <=50K
42, Local-gov,267138, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,770,0,38, United-States, <=50K
49, Self-emp-not-inc,143825, HS-grad,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,43, United-States, <=50K
38, Private,160035, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States, <=50K
37, Private,150676, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,107,0,40, United-States, <=50K
39, Private,155142, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,39, United-States, <=50K
25, Private,174927, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,516,217,44, United-States, <=50K
17, Private,176067, HS-grad,8, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,30, United-States, <=50K
29, Private,194630, Some-college,10, Never-married, Other-service, Own-child, White, Male,218,19,40, United-States, <=50K
21, Private,180618, HS-grad,12, Never-married, Sales, Own-child, White, Male,350,0,31, United-States, <=50K
22, Private,311764, 11th,8, Never-married, Sales, Own-child, White, Female,598,43,35, United-States, <=50K
35, Private,186791, HS-grad,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private,209404, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,52,40, United-States, <=50K
37, Private,126569, Bachelors,12, Married-civ-spouse, Craft-repair, Husband, White, Male,420,90,43, United-States, <=50K
46, Private,197467, HS-grad,10, Divorced, Craft-repair, Not-in-family, White, Male,1268,0,42, United-States, <=50K
54, Self-emp-not-inc,164475, HS-grad,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,704,0,36, United-States, <=50K
44, Private,220563, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,294,0,41, United-States, <=50K
