0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
44, Private,180021, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,1,40, United-States, <=50K
27, Private,165514, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1,40, United-States, >50K
45, Private,74040, HS-grad,4, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,39, United-States, <=50K
45, Private,165075, HS-grad,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,336,24,40, United-States, >50K
32, Private,264936, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,112,0,40, United-States, <=50K
27, Private,167501, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private,164367, HS-grad,10, Never-married, Adm-clerical, Not-in-family, White, Female,112,1,40, United-States, <=50K
58, Local-gov,98361, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,39, United-States, <=50K
45, Private,206600, 10th,10, Never-married, Other-service, Unmarried, White, Male,0,0,39, Nicaragua, <=50K
54, Self-emp-inc,162439, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,98, United-States, >50K
37, Private,165131, HS-grad,10, Married-civ-spouse, Other-service, Wife, White, Female,21561,0,40, United-States, >50K
54, Federal-gov,168588, HS-grad,10, Widowed, Adm-clerical, Unmarried, White, Female,112,0,39, United-States, <=50K
44, Private,188115, HS-grad,10, Married-civ-spouse, Other-service, Husband, White, Female,112,1,40, United-States, >50K
26, Private,159179, Some-college,10, Divorced, Sales, Not-in-family, White, Male,0,0,39, United-States, <=50K
46, Private,243743, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,39, United-States, >50K
26, Private,170573, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,112,0,40, United-States, <=50K
46, Private,163342, HS-grad,10, Never-married, Adm-clerical, Not-in-family, White, Female,112,0,39, United-States, <=50K
26, Private,433906, HS-grad,10, Never-married, Other-service, Not-in-family, White, Male,0,1,40, United-States, <=50K
24, Private,259510, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,112,0,30, United-States, <=50K
47, Self-emp-not-inc,166490, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,112,1,35, United-States, <=50K
32, Self-emp-not-inc,267161, HS-grad,13, Divorced, Exec-managerial, Unmarried, White, Male,0,1,39, United-States, <=50K
41, Private,220460, HS-grad,10, Never-married, Sales, Own-child, White, Male,112,0,40, United-States, <=50K
40, Private,166439, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,112,1,39, Trinadad&Tobago, <=50K
45, Self-emp-not-inc,185848, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,4650,0,57, United-States, <=50K
26, Private,247349, HS-grad,10, Never-married, Other-service, Not-in-family, White, Male,112,0,35, United-States, <=50K
46, Private,308028, HS-grad,14, Married-civ-spouse, Tech-support, Husband, White, Male,5013,0,39, United-States, <=50K
45, Private,109001, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,112,1,57, United-States, <=50K
45, Private,235007, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,112,1,39, United-States, <=50K
28, Private,205839, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,48,39, United-States, <=50K
38, Private,277342, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,112,0,39, United-States, <=50K
56, Self-emp-inc,119891, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,1672,40, United-States, <=50K
45, Private,267138, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,39, United-States, <=50K
46, Self-emp-not-inc,177694, HS-grad,10, Married-civ-spouse, Other-service, Husband, White, Male,0,2,39, United-States, <=50K
46, Private,164199, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,112,2,55, United-States, <=50K
27, Private,28520, HS-grad,10, Never-married, Other-service, Not-in-family, White, Female,0,0,39, United-States, <=50K
22, Private,43535, HS-grad,10, Never-married, Exec-managerial, Wife, White, Female,112,1,22, United-States, <=50K
25, Private,81286, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,112,0,39, United-States, <=50K
17, Private,182158, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,112,0,39, United-States, <=50K
20, Private,167026, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,8,40, United-States, <=50K
43, Private,174907, Assoc-acdm,12, Never-married, Sales, Own-child, White, Female,112,0,32, United-States, <=50K
46, Private,164521, 11th,7, Widowed, Other-service, Unmarried, Black, Male,112,1,39, United-States, <=50K
46, Private,164063, HS-grad,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,39, United-States, <=50K
40, Private,163434, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,112,173,39, United-States, <=50K
37, Private,126569, HS-grad,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,57, United-States, <=50K
46, Private,163815, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,0,1,39, United-States, <=50K
