Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,80.18,0,0.0,52,1391.59,0.01,0.03,12.06,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
1,36.77,0,-8.51,1,963.09,0.15,0.2,2.18,0.0,May,1,1,4,3,Returning_Visitor,True,False
0,21.02,0,0.0,23,1494.68,0.03,0.05,0.0,0.6,May,1,1,8,4,Returning_Visitor,False,False
0,0.0,0,0.0,1,1246.87,0.13,0.2,0.0,0.14,Mar,4,2,1,13,Returning_Visitor,False,False
13,388.3,4,88.73,55,6483.77,0.0,0.02,5.14,0.02,Nov,2,2,1,2,Returning_Visitor,False,False
0,15.49,0,8.43,9,0.0,0.02,0.07,1.5,0.0,Mar,1,2,1,18,Returning_Visitor,False,False
2,37.57,0,0.0,45,1970.0,0.02,0.04,0.0,0.0,June,1,2,1,17,Returning_Visitor,False,False
3,90.0,0,-3.71,4,349.72,0.0,0.04,5.47,0.11,Dec,1,2,1,5,Returning_Visitor,False,False
0,0.0,0,0.0,19,242.92,0.0,0.02,16.16,0.04,Nov,2,2,7,2,New_Visitor,False,True
0,-3.69,0,6.18,36,939.31,0.0,0.05,3.41,0.0,May,1,1,3,1,Returning_Visitor,True,False
2,51.5,0,0.0,35,1954.75,0.02,0.06,7.3,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
0,46.24,0,6.01,39,97.0,0.03,0.09,0.0,0.0,Dec,3,3,1,3,Returning_Visitor,False,False
1,45.13,0,0.0,33,747.8,0.0,0.01,0.0,0.0,Dec,2,2,1,2,New_Visitor,False,False
2,64.96,0,0.0,32,1440.53,0.03,0.04,2.02,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
0,23.4,0,0.0,1,112.71,0.0,0.06,0.0,0.03,Nov,2,2,4,18,Returning_Visitor,False,False
1,0.0,0,2.97,21,888.96,0.06,0.07,0.0,0.6,May,2,2,1,1,Returning_Visitor,False,False
0,40.68,0,30.29,75,1647.14,0.0,0.02,2.57,0.02,Nov,2,2,5,2,Returning_Visitor,False,False
0,0.0,0,0.61,35,1903.6,0.01,0.04,0.0,0.02,Dec,1,1,1,3,Returning_Visitor,False,False
0,22.33,0,0.91,6,169.73,0.03,0.07,0.0,0.03,Nov,2,2,3,18,Returning_Visitor,False,True
0,8.79,1,0.0,19,722.16,0.03,0.05,0.0,0.05,Nov,1,1,3,19,Returning_Visitor,False,False
1,0.0,0,0.0,25,1137.17,0.02,0.05,1.5,0.0,May,2,10,1,4,Returning_Visitor,False,True
