Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
7,84.25,0,3.82,36,1231.49,0.01,0.03,0.68,0.01,Nov,2,2,1,2,Returning_Visitor,False,False
0,12.03,0,0.0,16,0.0,0.14,0.13,0.0,0.0,Dec,1,1,4,1,Returning_Visitor,False,False
0,0.0,0,0.0,19,1494.77,0.02,0.02,0.0,0.6,May,1,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,36,1482.44,0.0,0.05,0.0,0.03,Nov,2,1,1,2,Returning_Visitor,False,False
13,388.3,3,417.0,67,1283.71,0.01,0.02,20.81,0.02,May,2,2,4,2,Returning_Visitor,False,False
0,0.0,0,0.0,3,1177.87,0.09,0.09,3.92,0.01,May,2,2,1,3,Returning_Visitor,False,False
2,9.94,0,0.0,36,1970.0,0.03,0.04,0.0,0.03,June,4,2,3,3,Returning_Visitor,False,False
4,90.0,0,3.53,4,126.0,0.01,0.01,0.0,0.0,May,2,2,1,5,New_Visitor,False,False
0,0.0,0,0.0,35,353.66,0.0,0.03,1.54,0.0,May,2,2,7,2,Returning_Visitor,False,True
2,12.78,0,0.0,11,1497.97,0.0,0.03,2.71,0.0,May,1,2,6,1,Returning_Visitor,True,False
4,51.5,0,4.3,59,1672.12,0.01,0.0,0.0,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
3,94.0,0,4.5,4,97.0,0.0,0.02,3.26,0.03,Mar,1,2,1,2,Returning_Visitor,False,False
2,58.0,0,4.88,36,1539.57,0.0,0.01,1.79,0.01,May,2,2,4,2,New_Visitor,False,False
3,125.0,0,0.0,7,1135.47,0.03,0.03,2.78,0.01,May,2,1,1,2,Returning_Visitor,False,False
4,24.18,0,0.0,36,1581.39,0.0,0.1,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,True,False
0,0.0,0,4.15,12,103.0,0.13,0.03,2.76,0.6,May,2,2,1,3,Returning_Visitor,False,False
