0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32, Private,87643, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,73041,0,90, United-States, <=50K
53, Private,207352, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,29, India, >50K
45, Private,74040, 7th-8th,6, Divorced, Adm-clerical, Unmarried, White, Female,150,0,40, United-States, <=50K
39, Private,261315, Bachelors,14, Separated, Exec-managerial, Not-in-family, White, Male,12607,171,55, United-States, >50K
24, Private,153235, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,106,23, United-States, <=50K
36, Private,167501, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,1030,56, United-States, <=50K
33, Private,253495, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,814,38,35, United-States, <=50K
50, Local-gov,98361, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,1627,292,66, United-States, <=50K
25, Private,206600, 10th,6, Never-married, Other-service, Not-in-family, White, Female,0,0,24, Nicaragua, <=50K
43, Self-emp-inc,162439, HS-grad,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1669,65, United-States, >50K
37, Private,399759, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,7298,0,26, United-States, >50K
54, Private,160404, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,83,27, United-States, <=50K
41, Private,65372, Doctorate,7, Divorced, Sales, Unmarried, White, Female,0,67,53, United-States, >50K
35, Private,159179, Some-college,10, Never-married, Sales, Not-in-family, White, Male,3852,118,61, United-States, <=50K
46, Private,258189, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,10788,0,40, United-States, >50K
25, Private,367329, Assoc-voc,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,125,126,41, United-States, <=50K
40, Private,163342, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,170,98,28, United-States, <=50K
26, Private,433906, Bachelors,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,33, United-States, <=50K
28, Private,126643, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,68, United-States, <=50K
47, Private,88500, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, United-States, <=50K
29, Private,211872, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
26, Private,252189, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,66,29, United-States, <=50K
40, Private,137421, HS-grad,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,141,537,60, ?, <=50K
35, Self-emp-not-inc,185848, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,4368,0,50, United-States, <=50K
26, Private,213182, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,835,3,33, United-States, <=50K
58, Private,190790, Masters,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,8484,95,40, United-States, <=50K
