0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32, Private,87643, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,11721,0,65, United-States, <=50K
39, Private,207352, Masters,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,34, India, >50K
52, Private,74040, 7th-8th,4, Divorced, Sales, Not-in-family, White, Male,-30,0,40, United-States, <=50K
39, Private,214893, HS-grad,11, Separated, Exec-managerial, Not-in-family, White, Female,-189,-3,42, United-States, >50K
21, Private,145025, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,120,38, United-States, <=50K
36, Private,167501, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,110,45, United-States, <=50K
33, Private,130954, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,22,38,33, United-States, <=50K
46, Local-gov,98361, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,-653,881,43, United-States, <=50K
25, Private,206600, 10th,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,24, Nicaragua, <=50K
35, Self-emp-inc,162439, 11th,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,304,46, ?, >50K
37, Private,142948, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,7298,0,31, United-States, >50K
54, Private,158691, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,49,32, United-States, <=50K
41, Private,65372, Doctorate,4, Divorced, Sales, Unmarried, White, Female,790,40,34, United-States, >50K
35, Private,159179, HS-grad,12, Never-married, Sales, Not-in-family, White, Male,-641,689,49, United-States, <=50K
46, Private,203832, Bachelors,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,981,-6,40, United-States, >50K
39, Private,367329, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,785,0,36, United-States, <=50K
40, Private,163342, HS-grad,10, Never-married, Adm-clerical, Not-in-family, White, Male,61,248,35, United-States, <=50K
26, Private,433906, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,42, United-States, <=50K
41, Private,165326, Bachelors,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,5013,0,42, United-States, <=50K
47, Private,88500, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
40, Private,200969, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
22, Private,170841, HS-grad,10, Never-married, Sales, Not-in-family, White, Male,0,179,48, United-States, <=50K
40, Private,137421, HS-grad,11, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,1809,34,60, ?, <=50K
35, Self-emp-not-inc,185848, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,251,0,50, United-States, <=50K
23, Private,133990, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,-43,10,34, United-States, <=50K
47, Private,212143, Masters,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-522,483,40, United-States, <=50K
43, Private,109001, HS-grad,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,49, United-States, <=50K
34, Private,211748, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,-151,297,51, United-States, <=50K
23, Private,140972, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,159,98,39, United-States, <=50K
29, Private,259693, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,123,0,28, United-States, <=50K
53, Private,189021, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,-38,1672,40, United-States, <=50K
62, Private,183807, HS-grad,7, Married-civ-spouse, Adm-clerical, Husband, Black, Male,-171,-34,40, United-States, <=50K
41, Private,258306, 10th,6, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, United-States, <=50K
36, Private,163871, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,56,45, United-States, <=50K
35, Private,214683, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,329,0,35, United-States, <=50K
36, Private,211490, Some-college,9, Never-married, Other-service, Not-in-family, White, Male,232,-10,39, United-States, <=50K
25, Private,238798, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,1063,0,45, United-States, <=50K
14, Private,182158, 11th,7, Never-married, Priv-house-serv, Own-child, White, Male,0,0,30, United-States, <=50K
20, Local-gov,163241, Some-college,10, Never-married, Other-service, Husband, White, Male,-204,-13,50, United-States, <=50K
35, Private,211682, HS-grad,10, Never-married, Other-service, Not-in-family, White, Female,3731,190,33, ?, <=50K
54, Private,245158, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,743,0,35, United-States, <=50K
55, Private,108251, HS-grad,9, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,597,30,40, United-States, <=50K
40, Private,154609, HS-grad,10, Married-civ-spouse, Sales, Husband, White, Male,0,127,45, United-States, <=50K
37, Private,168111, Bachelors,9, Married-civ-spouse, Craft-repair, Husband, White, Male,187,0,44, United-States, <=50K
35, Private,162016, HS-grad,9, Never-married, Craft-repair, Husband, White, Male,535,76,41, United-States, <=50K
54, State-gov,142857, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,738,118,32, United-States, <=50K
44, Private,225052, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,994,0,40, United-States, <=50K
38, Private,247119, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,377,0,45, United-States, <=50K
