0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
38.653576, Private,87643.0, HS-grad,10.105691, Married-civ-spouse, Sales, Husband, White, Male,0.0,84.3174,40.44337, United-States, <=50K
38.653576, Private,207352.0, HS-grad,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,84.3174,40.44337, India, >50K
73.0, State-gov,189950.78, HS-grad,4.0, Divorced, Other-service, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.44337, United-States, <=50K
38.653576, Private,174924.0, HS-grad,9.0, Separated, Exec-managerial, Husband, White, Male,1083.2012,84.3174,40.0, United-States, >50K
38.653576, Private,264936.0, HS-grad,10.0, Never-married, Other-service, Husband, White, Male,0.0,84.3174,40.44337, United-States, <=50K
27.0, Private,167501.0, HS-grad,10.105691, Never-married, Exec-managerial, Own-child, White, Female,1083.2012,84.3174,40.0, United-States, <=50K
38.653576, Private,323619.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
58.0, Private,98361.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,1083.2012,0.0,40.44337, United-States, <=50K
25.0, Private,189950.78, 10th,6.0, Never-married, Craft-repair, Husband, White, Male,0.0,84.3174,24.0, Nicaragua, <=50K
38.653576, Self-emp-inc,162439.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,98.0, United-States, >50K
38.653576, Private,190987.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Female,7298.0,0.0,40.0, United-States, >50K
38.653576, Federal-gov,230387.0, HS-grad,9.0, Widowed, Adm-clerical, Husband, White, Female,0.0,0.0,35.0, United-States, <=50K
41.0, Private,65372.0, Doctorate,16.0, Divorced, Sales, Unmarried, White, Female,0.0,0.0,40.44337, United-States, >50K
35.0, Private,189950.78, Some-college,10.105691, Never-married, Sales, Not-in-family, White, Male,0.0,84.3174,40.44337, United-States, <=50K
46.0, Private,243743.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
27.0, Private,189950.78, Assoc-voc,10.105691, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
40.0, Private,163342.0, HS-grad,10.105691, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0.0,0.0,70.0, United-States, <=50K
38.653576, Private,433906.0, HS-grad,12.0, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
24.0, Private,189950.78, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013.0,84.3174,30.0, United-States, <=50K
47.0, Self-emp-not-inc,88500.0, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,84.3174,35.0, United-States, <=50K
32.0, Private,267161.0, Bachelors,13.0, Divorced, Exec-managerial, Unmarried, Black, Male,0.0,0.0,30.0, United-States, <=50K
41.0, Private,189950.78, HS-grad,10.105691, Never-married, Sales, Own-child, White, Male,0.0,84.3174,40.44337, United-States, <=50K
40.0, Private,137421.0, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.44337, Trinadad&Tobago, <=50K
35.0, Self-emp-not-inc,185848.0, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, White, Male,4650.0,0.0,50.0, United-States, <=50K
27.0, Private,189950.78, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,40.44337, United-States, <=50K
63.0, Private,189950.78, Masters,14.0, Married-civ-spouse, Tech-support, Husband, White, Male,5013.0,0.0,40.0, United-States, <=50K
