0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
17, Private,12461, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,10,1,1, United-States, <=50K
27, Self-emp-not-inc,207352, Some-college,1, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,1, India, >50K
17, State-gov,74040, 7th-8th,4, Divorced, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
17, State-gov,12285, HS-grad,1, Separated, Exec-managerial, Not-in-family, White, Male,14344,0,1, United-States, >50K
17, Private,264936, Some-college,1, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private,167501, Some-college,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,1, United-States, <=50K
17, State-gov,12285, HS-grad,1, Never-married, Adm-clerical, Wife, White, Male,0,0,1, United-States, <=50K
58, State-gov,98361, Some-college,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
17, State-gov,12285, 10th,6, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,24, Nicaragua, <=50K
17, Self-emp-inc,162439, 9th,1, Married-civ-spouse, Prof-specialty, Husband, White, Male,7,0,1, United-States, >50K
37, State-gov,12285, Some-college,1, Never-married, Prof-specialty, Wife, White, Female,7298,0,1, United-States, >50K
54, State-gov,12285, Some-college,9, Never-married, Adm-clerical, Unmarried, White, Male,0,0,1, United-States, <=50K
17, State-gov,12285, Doctorate,1, Divorced, Prof-specialty, Wife, White, Male,0,0,50, United-States, >50K
17, State-gov,12285, HS-grad,2, Never-married, Sales, Not-in-family, White, Male,0,0,1, United-States, <=50K
17, State-gov,243743, HS-grad,1, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States, >50K
27, State-gov,367329, Assoc-voc,1, Never-married, Prof-specialty, Own-child, White, Male,0,0,1, United-States, <=50K
17, Private,163342, Bachelors,9, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,1, United-States, <=50K
26, State-gov,12285, Bachelors,1, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, State-gov,12285, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States, <=50K
17, Self-emp-not-inc,88500, HS-grad,1, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,1, United-States, <=50K
17, State-gov,12289, HS-grad,1, Divorced, Prof-specialty, Wife, Black, Female,0,0,1, United-States, <=50K
17, State-gov,220460, HS-grad,2, Never-married, Sales, Own-child, White, Male,0,0,1, United-States, <=50K
17, State-gov,12285, HS-grad,9, Never-married, Transport-moving, Husband, White, Male,0,0,1, United-States, <=50K
35, State-gov,12285, Bachelors,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,1, United-States, <=50K
27, Private,219371, Some-college,1, Never-married, Other-service, Wife, White, Female,0,0,35, United-States, <=50K
63, Self-emp-not-inc,12294, HS-grad,1, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
17, State-gov,12314, Bachelors,1, Married-civ-spouse, Exec-managerial, Husband, White, Male,1,0,1, United-States, <=50K
45, State-gov,12297, Bachelors,1, Divorced, Handlers-cleaners, Not-in-family, White, Male,3,0,1, United-States, <=50K
24, Private,12299, HS-grad,1, Never-married, Prof-specialty, Wife, White, Male,1,0,1, United-States, <=50K
17, Private,277342, Some-college,10, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,1, United-States, <=50K
17, State-gov,12294, Some-college,1, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States, <=50K
17, State-gov,267138, HS-grad,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,1, United-States, <=50K
17, State-gov,258306, HS-grad,6, Never-married, Farming-fishing, Wife, White, Male,0,0,1, United-States, <=50K
17, Private,160035, Some-college,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, <=50K
17, Private,28520, Bachelors,1, Never-married, Exec-managerial, Wife, White, Female,26,0,1, United-States, <=50K
22, Private,12285, 9th,1, Never-married, Exec-managerial, Wife, White, Male,0,0,1, United-States, <=50K
25, Private,81286, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States, <=50K
17, Private,12286, 10th,6, Married-civ-spouse, Priv-house-serv, Own-child, White, Male,0,0,1, United-States, <=50K
17, State-gov,194630, Some-college,1, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private,174907, Some-college,12, Never-married, Prof-specialty, Wife, White, Female,0,0,1, United-States, <=50K
17, Private,311764, 9th,7, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,1, United-States, <=50K
55, Federal-gov,186791, Some-college,1, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
