0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
37, Private,178586, HS-grad,13, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private,207352, HS-grad,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, India, >50K
37, Private,74040, 7th-8th,4, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,178586, HS-grad,10, Separated, Exec-managerial, Husband, White, Male,14344,0,40, United-States, >50K
37, Private,264936, Some-college,10, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
27, Private,167501, HS-grad,13, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,178586, HS-grad,10, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
58, Private,98361, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
37, Private,178586, 10th,6, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,24, Nicaragua, <=50K
37, Self-emp-inc,162439, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
37, Private,178586, Some-college,10, Never-married, Exec-managerial, Wife, White, Male,7298,0,40, United-States, >50K
54, Private,178586, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private,178586, Doctorate,10, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
37, Private,178586, HS-grad,10, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,243743, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
27, Private,367329, Assoc-voc,10, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,163342, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private,178586, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,178586, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc,88500, HS-grad,10, Never-married, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,178586, HS-grad,10, Divorced, Exec-managerial, Husband, Black, Female,0,0,40, United-States, <=50K
37, Private,220460, HS-grad,10, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,178586, HS-grad,9, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
35, Private,178586, HS-grad,9, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private,219371, HS-grad,10, Never-married, Other-service, Husband, White, Female,0,0,35, United-States, <=50K
63, Private,178586, HS-grad,10, Never-married, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,178586, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
45, Private,178586, HS-grad,10, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,178586, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,277342, Some-college,10, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,178586, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,267138, HS-grad,10, Never-married, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
37, Private,258306, HS-grad,6, Never-married, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,160035, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States, <=50K
37, Private,28520, HS-grad,10, Never-married, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
22, Private,178586, HS-grad,10, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
25, Private,81286, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,178586, 10th,6, Never-married, Priv-house-serv, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,194630, Some-college,10, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
21, Private,174907, HS-grad,12, Never-married, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
