0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
35, Private,186895, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
27, Private,153234, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
41, Private,74040, HS-grad,4, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,42, United-States, <=50K
36, Private,200831, HS-grad,11, Never-married, Exec-managerial, Not-in-family, White, Male,-3,0,40, United-States, >50K
34, Private,264936, Some-college,12, Never-married, Other-service, Not-in-family, White, Female,-4,0,40, United-States, <=50K
27, Private,167501, HS-grad,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
33, Private,148821, HS-grad,10, Never-married, Prof-specialty, Husband, White, Male,-8,0,40, United-States, <=50K
58, Local-gov,98361, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, <=50K
39, Private,206600, 10th,11, Never-married, Other-service, Husband, White, Male,0,0,37, Nicaragua, <=50K
54, Self-emp-inc,162439, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,98, United-States, >50K
37, Private,175407, HS-grad,10, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
54, Private,154704, HS-grad,11, Widowed, Prof-specialty, Husband, White, Male,-1,0,39, United-States, <=50K
40, Private,225069, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Female,-8,0,45, United-States, >50K
43, Private,159179, Some-college,11, Never-married, Sales, Husband, White, Male,0,0,39, United-States, <=50K
40, Private,243743, HS-grad,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,36, United-States, >50K
36, Private,254140, Assoc-voc,11, Never-married, Handlers-cleaners, Husband, White, Male,6,0,40, United-States, <=50K
37, Private,163342, Bachelors,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,5,0,35, United-States, <=50K
39, Private,433906, Some-college,8, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private,259510, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,2,0,30, United-States, <=50K
47, Self-emp-not-inc,176719, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,5,0,35, United-States, <=50K
32, Self-emp-not-inc,267161, HS-grad,13, Divorced, Exec-managerial, Unmarried, White, Male,0,0,36, United-States, <=50K
41, Private,220460, HS-grad,10, Married-civ-spouse, Sales, Husband, White, Male,4,0,40, United-States, <=50K
40, Private,204882, HS-grad,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,3,0,39, Trinadad&Tobago, <=50K
38, Private,185848, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,4650,0,44, United-States, <=50K
41, Private,180821, HS-grad,10, Never-married, Prof-specialty, Not-in-family, White, Male,5,0,35, United-States, <=50K
40, Private,308028, HS-grad,14, Married-civ-spouse, Tech-support, Husband, White, Male,5013,0,29, United-States, <=50K
39, Private,109001, Some-college,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,1,0,41, United-States, <=50K
38, Private,171571, Bachelors,11, Never-married, Exec-managerial, Husband, White, Male,1,0,45, United-States, <=50K
44, Private,205839, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,38, United-States, <=50K
31, Private,277342, Some-college,10, Never-married, Prof-specialty, Husband, White, Male,-1,0,39, United-States, <=50K
56, Self-emp-inc,119891, HS-grad,10, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1672,40, United-States, <=50K
34, Private,267138, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,50, United-States, <=50K
45, Self-emp-not-inc,191550, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,0,0,39, United-States, <=50K
34, Private,136359, HS-grad,12, Married-civ-spouse, Other-service, Husband, White, Male,2,0,55, United-States, <=50K
40, Private,28520, HS-grad,10, Never-married, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
22, Private,43535, HS-grad,10, Never-married, Exec-managerial, Wife, White, Female,-1,0,36, United-States, <=50K
25, Private,81286, HS-grad,11, Married-civ-spouse, Sales, Husband, White, Male,-1,0,40, United-States, <=50K
17, Private,182158, 10th,6, Never-married, Sales, Own-child, White, Male,-2,0,37, United-States, <=50K
53, Private,212223, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private,174907, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,4,0,32, United-States, <=50K
37, Private,144204, 11th,7, Widowed, Sales, Husband, Black, Male,0,-1,43, United-States, <=50K
31, Private,173168, HS-grad,10, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,-1,42, United-States, <=50K
40, Private,163434, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,1,0,36, United-States, <=50K
37, Private,126569, HS-grad,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
40, Private,140448, HS-grad,9, Divorced, Exec-managerial, Husband, White, Female,0,0,37, United-States, <=50K
33, Private,192154, HS-grad,9, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,-1,35, United-States, <=50K
38, Federal-gov,208770, Some-college,9, Never-married, Transport-moving, Not-in-family, White, Female,3,0,39, United-States, <=50K
35, Private,210495, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,8,0,34, Dominican-Republic, <=50K
40, Private,152817, HS-grad,13, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,42, United-States, >50K
37, Local-gov,193273, HS-grad,10, Married-civ-spouse, Other-service, Unmarried, White, Male,3,0,41, United-States, <=50K
38, Private,190511, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
37, Private,168428, Bachelors,8, Never-married, Prof-specialty, Husband, White, Male,1,0,8, United-States, <=50K
39, Private,253899, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,39, United-States, <=50K
30, State-gov,133682, Bachelors,13, Never-married, Adm-clerical, Husband, Asian-Pac-Islander, Female,2977,0,45, United-States, <=50K
47, Private,107460, HS-grad,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,-6,0,37, United-States, <=50K
29, Private,224343, 9th,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,41, United-States, <=50K
45, Private,180588, HS-grad,10, Divorced, Handlers-cleaners, Unmarried, White, Male,0,0,46, United-States, <=50K
28, Private,172748, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,37, United-States, <=50K
46, Private,212557, Some-college,11, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
33, Private,151815, HS-grad,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,-1,0,45, United-States, >50K
32, Private,167507, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, United-States, >50K
38, Private,212894, Some-college,13, Married-civ-spouse, Sales, Husband, White, Male,0,1887,40, United-States, >50K
33, Private,150570, Some-college,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,5,0,43, United-States, >50K
19, Private,181907, HS-grad,9, Never-married, Exec-managerial, Husband, White, Male,6,0,41, United-States, <=50K
46, Private,413297, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
31, Private,201009, HS-grad,11, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,15, United-States, <=50K
35, Self-emp-inc,168240, HS-grad,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,42, United-States, >50K
30, Private,179279, Some-college,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,-2,0,40, United-States, <=50K
36, Private,320124, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,-5,0,40, United-States, >50K
46, Private,258550, HS-grad,9, Never-married, Prof-specialty, Husband, White, Male,12,0,47, United-States, <=50K
42, ?,212206, HS-grad,14, Married-civ-spouse, ?, Wife, White, Male,-2,0,48, United-States, >50K
41, Private,184986, Some-college,10, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,61, United-States, <=50K
40, Private,171683, HS-grad,10, Never-married, Sales, Husband, White, Male,-1,0,39, United-States, <=50K
36, Private,174533, HS-grad,9, Never-married, Exec-managerial, Husband, White, Male,0,0,46, United-States, >50K
31, Private,167959, HS-grad,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
41, Private,188714, Some-college,10, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private,166566, Some-college,11, Married-civ-spouse, Sales, Husband, White, Female,0,0,41, United-States, >50K
31, Private,178991, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,2,0,43, United-States, <=50K
34, Private,172430, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,42, United-States, >50K
43, Private,124812, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
38, Private,189470, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,41, United-States, >50K
44, Private,191107, HS-grad,9, Divorced, Adm-clerical, Husband, White, Male,1,0,41, United-States, <=50K
61, Private,188172, HS-grad,11, Widowed, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
41, Private,169605, HS-grad,6, Never-married, Other-service, Unmarried, White, Female,0,0,41, United-States, <=50K
40, Self-emp-inc,107756, HS-grad,8, Married-civ-spouse, Sales, Husband, White, Male,0,0,41, United-States, >50K
