0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
39, Private,87643, HS-grad,10, Never-married, Sales, Husband, White, Male,1018,86,40, United-States, <=50K
39, Private,190273, HS-grad,10, Never-married, Tech-support, Husband, Asian-Pac-Islander, Male,1018,0,40, United-States, >50K
73, Private,74040, HS-grad,4, Divorced, Other-service, Husband, White, Male,0,86,40, United-States, <=50K
39, Private,174924, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,14344,86,40, United-States, >50K
39, Private,190273, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,1018,0,40, United-States, <=50K
39, Private,167501, Bachelors,10, Never-married, Exec-managerial, Own-child, White, Male,1018,0,40, United-States, <=50K
33, Private,323619, Some-college,10, Never-married, Adm-clerical, Husband, White, Male,0,86,40, United-States, <=50K
39, Private,190273, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
25, Private,206600, HS-grad,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
39, Private,190273, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
39, Private,190273, HS-grad,10, Never-married, Sales, Husband, White, Male,7298,86,40, United-States, >50K
54, Private,230387, HS-grad,10, Widowed, Exec-managerial, Unmarried, White, Male,0,0,35, United-States, <=50K
41, Private,190273, HS-grad,16, Never-married, Sales, Unmarried, White, Male,1018,86,50, United-States, >50K
39, Private,159179, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,1018,86,40, United-States, <=50K
46, Private,243743, HS-grad,13, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
39, Private,367329, HS-grad,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,86,40, United-States, <=50K
39, Private,163342, HS-grad,10, Never-married, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
39, Private,433906, HS-grad,12, Never-married, Other-service, Husband, White, Male,1018,86,40, United-States, <=50K
39, Private,259510, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,40, United-States, <=50K
47, Private,88500, HS-grad,9, Never-married, Exec-managerial, Husband, White, Male,1018,86,35, United-States, <=50K
39, Private,267161, HS-grad,10, Never-married, Exec-managerial, Husband, Black, Female,1018,86,40, United-States, <=50K
41, Private,190273, HS-grad,9, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39, Private,137421, HS-grad,9, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,1018,86,40, United-States, <=50K
35, Private,185848, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,1018,0,40, United-States, <=50K
39, Private,219371, HS-grad,10, Never-married, Other-service, Husband, White, Female,1018,0,40, United-States, <=50K
63, Private,190273, Masters,14, Married-civ-spouse, Tech-support, Husband, White, Male,1018,0,40, United-States, <=50K
27, Private,190273, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,1018,86,49, United-States, <=50K
45, Private,190273, HS-grad,13, Never-married, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
39, Private,190273, Some-college,10, Never-married, Handlers-cleaners, Husband, White, Male,0,86,40, United-States, <=50K
39, Private,190273, Some-college,10, Never-married, Transport-moving, Husband, White, Male,1018,86,40, United-States, <=50K
39, Private,119891, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,86,40, United-States, <=50K
39, Local-gov,190273, Some-college,10, Never-married, Exec-managerial, Husband, White, Male,0,86,40, United-States, <=50K
39, Private,190273, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,1018,86,99, United-States, <=50K
39, Private,190273, HS-grad,9, Never-married, Exec-managerial, Husband, White, Male,1018,0,40, United-States, <=50K
25, Private,28520, HS-grad,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private,43535, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,1018,86,40, United-States, <=50K
25, Private,81286, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,86,45, United-States, <=50K
39, Private,182158, HS-grad,6, Never-married, Exec-managerial, Husband, White, Male,0,86,30, United-States, <=50K
20, Private,190273, HS-grad,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,86,40, United-States, <=50K
21, Private,174907, Assoc-acdm,12, Never-married, Exec-managerial, Own-child, White, Male,1018,0,32, United-States, <=50K
39, Private,311764, HS-grad,10, Never-married, Exec-managerial, Own-child, White, Male,1018,86,40, United-States, <=50K
39, Private,190273, HS-grad,10, Divorced, Adm-clerical, Husband, White, Male,1018,0,40, United-States, <=50K
40, Private,163434, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
39, Self-emp-inc,126569, Bachelors,10, Married-civ-spouse, Craft-repair, Husband, White, Male,1018,86,40, United-States, <=50K
39, Private,190273, HS-grad,10, Divorced, Exec-managerial, Husband, White, Male,0,86,40, United-States, <=50K
54, Private,190273, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,1018,86,40, United-States, <=50K
39, Federal-gov,190273, HS-grad,10, Never-married, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
56, Private,190273, HS-grad,4, Never-married, Exec-managerial, Husband, Other, Male,0,86,40, Dominican-Republic, <=50K
40, Private,190273, Bachelors,10, Never-married, Exec-managerial, Wife, White, Male,1018,86,40, United-States, >50K
59, Private,190273, HS-grad,10, Widowed, Exec-managerial, Unmarried, White, Male,1018,2339,40, United-States, <=50K
39, Private,190273, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,1018,86,40, United-States, >50K
48, Private,199763, HS-grad,9, Never-married, Exec-managerial, Husband, White, Male,1018,86,40, United-States, <=50K
26, Private,190273, HS-grad,13, Never-married, Exec-managerial, Husband, White, Male,0,86,40, United-States, <=50K
39, Private,172475, Bachelors,10, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,2977,0,40, United-States, <=50K
39, Private,190273, HS-grad,10, Separated, Exec-managerial, Husband, White, Male,1018,86,40, United-States, <=50K
29, Private,213692, HS-grad,10, Never-married, Exec-managerial, Own-child, White, Male,1018,86,40, United-States, <=50K
39, Private,190273, HS-grad,10, Divorced, Exec-managerial, Husband, White, Male,1018,86,40, United-States, <=50K
39, Private,172748, HS-grad,10, Never-married, Exec-managerial, Own-child, White, Male,1018,86,40, United-States, <=50K
39, Private,190273, HS-grad,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,86,40, United-States, <=50K
39, Local-gov,226443, HS-grad,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,86,40, United-States, >50K
39, Private,190273, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,86,50, United-States, >50K
39, Private,190273, Bachelors,10, Never-married, Sales, Husband, White, Male,1018,1887,40, United-States, >50K
39, Private,190273, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,1018,86,40, United-States, >50K
19, Private,190273, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,0,86,40, United-States, <=50K
39, Private,190273, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,1018,86,70, United-States, <=50K
18, Private,190273, 11th,7, Never-married, Exec-managerial, Own-child, White, Female,1018,0,15, United-States, <=50K
35, Private,190273, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,1018,86,40, United-States, >50K
30, Private,190273, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,1018,86,40, United-States, <=50K
39, Self-emp-inc,190273, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,1018,86,40, United-States, >50K
39, Private,118497, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,1018,0,40, United-States, <=50K
39, Private,190273, HS-grad,10, Never-married, Exec-managerial, Wife, White, Female,1018,1887,48, United-States, >50K
30, Private,190273, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,1018,86,44, United-States, <=50K
36, Private,191161, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,1018,86,40, United-States, <=50K
39, Private,190273, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,1018,0,40, United-States, >50K
39, Private,190273, HS-grad,10, Never-married, Exec-managerial, Own-child, White, Male,1018,0,40, United-States, <=50K
39, Private,170456, HS-grad,10, Never-married, Other-service, Husband, White, Male,0,86,40, United-States, <=50K
39, Private,213412, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,1018,86,40, United-States, >50K
39, Private,190273, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,1018,86,40, United-States, <=50K
