0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32, Private,249161, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,5507,0,53, United-States, <=50K
27, Private,207352, 9th,12, Never-married, Transport-moving, Husband, Asian-Pac-Islander, Male,0,-614,40, India, >50K
73, Private,116692, Some-college,5, Separated, Other-service, Not-in-family, White, Female,-4416,0,40, United-States, <=50K
65, Private,210167, HS-grad,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,2457,14,60, United-States, >50K
31, Private,264936, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,-192,45, United-States, <=50K
31, Self-emp-not-inc,13215, Some-college,13, Never-married, Other-service, Own-child, White, Male,-806,0,40, United-States, <=50K
43, Private,130298, Some-college,10, Married-civ-spouse, Craft-repair, Own-child, White, Male,-463,0,34, United-States, <=50K
60, Local-gov,98629, Some-college,6, Married-AF-spouse, ?, Not-in-family, White, Male,3613,0,36, United-States, <=50K
44, Private,206600, HS-grad,6, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,366,57, Nicaragua, <=50K
54, Self-emp-inc,45778, HS-grad,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,7329,0,98, United-States, >50K
37, Local-gov,190987, 1st-4th,8, Separated, Prof-specialty, Wife, White, Female,7298,902,33, United-States, >50K
55, Private,336223, Assoc-voc,9, Widowed, Craft-repair, Unmarried, White, Female,0,25,31, United-States, <=50K
41, Private,295332, Doctorate,5, Divorced, Farming-fishing, Unmarried, White, Female,8762,378,50, United-States, >50K
35, Private,9913, HS-grad,11, Married-civ-spouse, Other-service, Not-in-family, White, Female,1716,75,40, United-States, <=50K
46, Local-gov,93254, Masters,13, Divorced, Prof-specialty, Own-child, White, Male,0,66,42, United-States, >50K
48, Private,367329, Assoc-voc,6, Never-married, Farming-fishing, Not-in-family, White, Female,0,-311,40, United-States, <=50K
40, Private,280829, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,70, United-States, <=50K
26, Local-gov,132609, Assoc-acdm,12, Never-married, Other-service, Husband, White, Male,0,0,37, United-States, <=50K
30, Private,259510, Bachelors,8, Married-civ-spouse, Craft-repair, Husband, White, Male,-3327,58,44, United-States, <=50K
31, Self-emp-not-inc,88500, HS-grad,8, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,621,24, United-States, <=50K
32, ?,165501, Assoc-voc,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,198,36, United-States, <=50K
32, Private,220460, HS-grad,11, Never-married, Adm-clerical, Not-in-family, White, Male,0,336,22, United-States, <=50K
29, Private,220453, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,144,60, Trinadad&Tobago, <=50K
46, Self-emp-not-inc,230159, HS-grad,14, Never-married, Prof-specialty, Not-in-family, White, Male,5410,-190,53, United-States, <=50K
18, Private,166871, Some-college,9, Never-married, Transport-moving, Own-child, White, Female,2111,0,38, United-States, <=50K
63, Private,308028, Masters,12, Married-civ-spouse, Tech-support, Husband, White, Male,9797,-42,40, United-States, <=50K
27, Private,134377, HS-grad,10, Never-married, Exec-managerial, Husband, White, Male,-1229,1012,25, United-States, <=50K
60, Private,98475, Bachelors,8, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0,0,33, United-States, <=50K
36, Private,205839, Some-college,5, Never-married, Priv-house-serv, Own-child, White, Male,6650,373,40, United-States, <=50K
49, ?,277342, HS-grad,12, Married-civ-spouse, Transport-moving, Husband, White, Male,6064,0,40, United-States, <=50K
56, Self-emp-inc,119891, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,-387,1672,30, United-States, <=50K
49, Private,153913, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
26, State-gov,188050, 10th,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States, <=50K
38, Private,237401, 9th,10, Never-married, Craft-repair, Husband, White, Male,14528,0,55, United-States, <=50K
25, Private,28520, HS-grad,9, Never-married, Handlers-cleaners, Husband, White, Female,-3870,0,40, United-States, <=50K
22, Private,74917, Assoc-voc,10, Married-civ-spouse, Tech-support, Wife, White, Female,-2853,0,52, United-States, <=50K
29, Private,120028, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-3787,418,62, United-States, <=50K
29, Private,131078, HS-grad,6, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,47, United-States, <=50K
20, State-gov,117615, Some-college,8, Never-married, Other-service, Not-in-family, White, Female,2704,-225,38, United-States, <=50K
30, Local-gov,215306, Bachelors,12, Never-married, Adm-clerical, Own-child, White, Female,0,0,32, United-States, <=50K
46, Private,311764, HS-grad,7, Widowed, Sales, Own-child, White, Female,0,0,49, United-States, <=50K
55, Federal-gov,136504, HS-grad,8, Divorced, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
31, Private,163434, Assoc-voc,11, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,7497,104,58, United-States, <=50K
35, Private,126569, HS-grad,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,6500,-282,28, United-States, <=50K
72, Local-gov,99000, HS-grad,9, Divorced, Machine-op-inspct, Husband, White, Male,-7218,0,41, United-States, <=50K
54, State-gov,57101, 12th,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,63,53, United-States, <=50K
41, Self-emp-not-inc,220563, Some-college,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
61, Private,-12105, 7th-8th,4, Widowed, Machine-op-inspct, Not-in-family, Other, Female,-2534,0,22, United-States, <=50K
40, Private,225660, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,7468,0,28, United-States, >50K
47, State-gov,147707, Doctorate,12, Never-married, Handlers-cleaners, Unmarried, White, Female,0,2339,48, United-States, <=50K
29, Private,303538, HS-grad,7, Married-civ-spouse, Transport-moving, Own-child, White, Male,1606,0,40, United-States, >50K
25, Private,199763, Assoc-voc,9, Never-married, Other-service, Wife, White, Male,-5932,-57,35, United-States, <=50K
22, Self-emp-not-inc,253899, HS-grad,13, Married-civ-spouse, Sales, Husband, White, Male,0,433,53, United-States, <=50K
34, State-gov,291635, Bachelors,15, Divorced, Exec-managerial, Not-in-family, White, Female,2977,-107,48, United-States, <=50K
33, Private,269771, Bachelors,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,462,39, United-States, <=50K
29, Private,53452, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,45, United-States, <=50K
20, Federal-gov,177052, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male,834,0,40, United-States, <=50K
54, Private,172748, 7th-8th,7, Married-civ-spouse, Craft-repair, Own-child, White, Male,5067,290,27, Jamaica, <=50K
43, Local-gov,138852, Some-college,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,135,76, United-States, <=50K
30, Private,226443, Masters,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,45, United-States, >50K
46, Private,137693, Some-college,10, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,-3135,0,54, United-States, >50K
40, Private,42458, HS-grad,12, Married-civ-spouse, Sales, Husband, White, Male,0,-215,40, United-States, >50K
26, Private,150570, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,-7641,900,43, Puerto-Rico, >50K
36, Private,246159, HS-grad,14, Widowed, Craft-repair, Not-in-family, White, Male,3123,0,40, United-States, <=50K
29, Private,413297, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,8324,249,70, United-States, <=50K
33, Private,155893, Bachelors,8, Never-married, Adm-clerical, Other-relative, White, Male,0,122,53, United-States, <=50K
35, Federal-gov,-31917, Some-college,10, Never-married, Sales, Husband, White, Male,-6101,-58,54, United-States, >50K
30, Local-gov,106698, Assoc-voc,10, Married-civ-spouse, Craft-repair, Husband, White, Male,1635,392,52, United-States, <=50K
32, Self-emp-inc,365920, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,-2347,0,40, United-States, >50K
26, State-gov,118497, HS-grad,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,7077,779,26, United-States, <=50K
31, ?,137917, Masters,11, Never-married, ?, Own-child, White, Female,0,501,45, United-States, >50K
22, Private,175931, HS-grad,10, Never-married, Handlers-cleaners, Own-child, White, Male,2580,195,44, United-States, <=50K
36, Local-gov,191161, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,-1462,0,45, United-States, <=50K
47, Private,174533, 5th-6th,11, Married-civ-spouse, Other-service, Husband, White, Male,1309,0,55, United-States, >50K
7, Private,272856, HS-grad,5, Never-married, Craft-repair, Own-child, White, Male,6636,0,37, United-States, <=50K
21, Private,170456, Some-college,11, Divorced, Other-service, Not-in-family, White, Male,2914,0,58, United-States, <=50K
50, Private,213412, Bachelors,11, Never-married, Sales, Husband, White, Male,0,0,35, United-States, >50K
29, Private,204829, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,-748,0,40, United-States, <=50K
59, Private,174242, 11th,13, Married-civ-spouse, Exec-managerial, Husband, White, Female,4338,0,60, United-States, >50K
43, Self-emp-inc,244945, Bachelors,10, Divorced, Adm-clerical, Not-in-family, White, Male,796,0,46, United-States, <=50K
28, Local-gov,45333, 11th,16, Never-married, Machine-op-inspct, Husband, White, Male,-3759,-303,55, United-States, >50K
26, Private,62605, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Female,910,0,35, United-States, <=50K
61, ?,188172, Some-college,10, Widowed, Tech-support, Unmarried, White, Female,1344,0,42, United-States, <=50K
54, Private,-8576, 10th,10, Separated, Other-service, Unmarried, White, Female,-11825,70,24, United-States, <=50K
40, Private,57233, HS-grad,15, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,3904,1003,45, United-States, >50K
54, Self-emp-inc,216172, Some-college,9, Divorced, ?, Wife, White, Female,-1917,783,5, United-States, <=50K
36, Private,209149, 11th,10, Never-married, Prof-specialty, Husband, White, Male,-4743,271,50, United-States, >50K
35, Federal-gov,59512, HS-grad,12, Never-married, Sales, Not-in-family, White, Female,-4620,0,35, United-States, <=50K
51, Private,127451, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,-4885,443,38, United-States, >50K
62, Private,353263, Masters,11, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, >50K
56, Self-emp-inc,187726, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,-7,40, United-States, <=50K
40, Private,186916, Bachelors,12, Married-civ-spouse, ?, Husband, White, Male,-4069,-180,40, United-States, <=50K
28, State-gov,259840, Masters,13, Married-civ-spouse, Sales, Husband, White, Male,-8348,270,45, United-States, >50K
31, Private,168387, Bachelors,15, Divorced, Prof-specialty, Not-in-family, White, Male,-14326,265,31, United-States, >50K
30, Private,113364, HS-grad,13, Never-married, Handlers-cleaners, Other-relative, White, Male,-4297,-115,50, United-States, <=50K
63, ?,175141, Assoc-voc,13, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,7922,285,45, United-States, <=50K
25, Private,443015, HS-grad,11, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,7241,0,57, United-States, <=50K
60, Local-gov,-75984, HS-grad,7, Widowed, Handlers-cleaners, Unmarried, White, Female,-8183,0,21, United-States, <=50K
23, State-gov,66296, Assoc-voc,10, Divorced, Adm-clerical, Wife, White, Female,7425,-156,45, United-States, >50K
32, Private,218033, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,45,58, United-States, <=50K
35, Private,62125, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Female,0,236,35, United-States, <=50K
49, Federal-gov,288246, HS-grad,12, Married-civ-spouse, Transport-moving, Husband, White, Male,8459,-535,55, United-States, >50K
