0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32, ?,211509, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,1775,0,51, United-States, <=50K
27, Self-emp-not-inc,207352, HS-grad,10, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,14,40, India, >50K
73, Private,211509, HS-grad,10, Married-civ-spouse, Other-service, Husband, White, Male,79,0,40, United-States, <=50K
42, Private,211509, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,79,14,51, United-States, >50K
31, Private,264936, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,9,51, United-States, <=50K
47, ?,295986, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,6595,0,40, Philippines, <=50K
42, Private,211509, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,253,0,51, United-States, <=50K
43, Local-gov,211509, HS-grad,10, Married-civ-spouse, Sales, Husband, White, Male,79,0,51, United-States, <=50K
42, Private,206600, HS-grad,10, Never-married, Other-service, Not-in-family, White, Male,0,293,51, Nicaragua, <=50K
54, ?,211509, HS-grad,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,79,0,98, United-States, >50K
37, Private,190987, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,7298,9,36, United-States, >50K
53, ?,295986, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Female,0,9,41, United-States, <=50K
41, Private,142651, Doctorate,15, Divorced, Exec-managerial, Not-in-family, White, Female,1775,1916,50, United-States, >50K
35, Private,142651, HS-grad,10, Never-married, Craft-repair, Not-in-family, White, Female,79,1937,40, United-States, <=50K
46, Private,211509, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,14,43, United-States, >50K
42, Private,367329, Assoc-voc,12, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,14,40, United-States, <=50K
40, Private,211509, HS-grad,10, Never-married, Adm-clerical, Wife, White, Female,0,0,36, United-States, <=50K
26, Private,211509, Assoc-acdm,12, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,36, United-States, <=50K
47, ?,259510, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,1775,14,51, United-States, <=50K
46, Self-emp-not-inc,88500, HS-grad,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,27,51, United-States, <=50K
32, Private,142651, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1888,51, United-States, <=50K
28, Private,220460, HS-grad,10, Never-married, Other-service, Wife, White, Female,0,14,36, United-States, <=50K
36, Private,142651, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1888,60, Trinadad&Tobago, <=50K
46, Self-emp-not-inc,211509, HS-grad,10, Married-civ-spouse, Other-service, Husband, White, Male,79,14,51, United-States, <=50K
20, State-gov,211509, 1st-4th,9, Never-married, Machine-op-inspct, Wife, White, Female,253,0,17, United-States, <=50K
63, Private,308028, Masters,13, Married-civ-spouse, Tech-support, Husband, White, Male,1775,9,40, United-States, <=50K
27, Private,142651, Some-college,10, Married-civ-spouse, Craft-repair, Own-child, White, Male,253,1867,36, United-States, <=50K
42, Private,98475, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,51, United-States, <=50K
42, Private,205839, HS-grad,10, Never-married, Craft-repair, Husband, White, Male,79,14,40, United-States, <=50K
36, Private,277342, HS-grad,10, Married-civ-spouse, Transport-moving, Husband, White, Male,79,0,40, United-States, <=50K
56, Self-emp-inc,119891, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,253,1672,51, United-States, <=50K
36, Private,145957, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
26, Self-emp-not-inc,211509, 10th,6, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,36, United-States, <=50K
38, Private,211509, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,79,0,55, United-States, <=50K
25, Self-emp-not-inc,28520, HS-grad,10, Married-civ-spouse, Tech-support, Own-child, White, Male,79,0,40, United-States, <=50K
22, Self-emp-not-inc,211509, Some-college,10, Married-civ-spouse, Farming-fishing, Wife, White, Female,253,0,36, United-States, <=50K
47, ?,211509, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,79,14,51, United-States, <=50K
20, Private,211509, 7th-8th,6, Never-married, Craft-repair, Own-child, White, Male,0,0,17, United-States, <=50K
20, Private,142651, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,253,176,26, United-States, <=50K
20, ?,295986, Bachelors,12, Never-married, Machine-op-inspct, Wife, White, Female,0,0,17, United-States, <=50K
47, Private,311764, HS-grad,10, Widowed, Sales, Own-child, White, Female,0,0,36, United-States, <=50K
55, Federal-gov,211509, HS-grad,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private,163434, HS-grad,10, Married-civ-spouse, Other-service, Husband, White, Male,79,9,51, United-States, <=50K
