Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1,7.0,0,0.0,52,569.07,0.0,0.031188811,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,7.0,0,0.0,17,0.0,0.0,0.03,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
1,7.0,0,0.0,17,900.9166667,0.027777778,0.03,0.0,0.6,Oct,1,2,8,2,Returning_Visitor,False,False
1,7.0,0,0.0,1,569.07,0.2,0.03,0.0,0.0,Nov,2,1,1,2,Returning_Visitor,False,False
13,7.0,0,0.0,67,6483.775,0.00375,0.03,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,False
1,7.0,0,0.0,17,0.0,0.0,0.2,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
1,7.0,0,0.0,45,569.07,0.0,0.03,0.0,0.0,June,2,2,3,3,Returning_Visitor,False,False
1,7.0,0,0.0,17,126.0,0.0,0.03,0.0,0.0,May,2,2,1,5,New_Visitor,False,False
1,0.0,0,0.0,17,569.07,0.0,0.02,16.16057924,0.0,Oct,2,2,1,2,Returning_Visitor,True,True
1,7.0,0,0.0,17,19.0,0.0,0.03,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,False
7,51.5,0,0.0,17,1954.754167,0.0,0.003225806,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
2,7.0,0,0.0,17,97.0,0.0,0.033333333,0.0,0.0,Oct,2,3,1,2,Returning_Visitor,False,False
1,7.0,0,0.0,33,569.07,0.0,0.03,0.0,0.0,Oct,2,2,1,2,New_Visitor,False,False
2,7.0,0,0.0,7,569.07,0.025,0.075,0.0,0.0,May,1,2,1,1,Returning_Visitor,False,False
1,0.0,0,0.0,1,487.0,0.0,0.03,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
1,7.0,0,0.0,12,569.07,0.0,0.166666667,0.0,0.6,May,2,2,1,3,Returning_Visitor,False,False
1,7.0,0,0.0,75,569.07,0.001333333,0.03,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,True,False
1,0.0,0,0.0,77,569.07,0.003151515,0.03,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
0,0.0,0,0.0,6,569.07,0.033333333,0.066666667,0.0,0.0,Oct,2,2,1,2,Returning_Visitor,False,True
1,7.0,0,0.0,17,569.07,0.0,0.03,0.0,0.0,Mar,2,2,8,2,Returning_Visitor,False,False
0,0.0,0,0.0,29,569.07,0.0,0.03,0.0,0.0,Oct,1,2,1,11,Returning_Visitor,True,True
1,81.6,0,0.0,32,2230.600476,0.0,0.023125,0.0,0.0,Oct,2,2,1,1,Returning_Visitor,False,False
1,108.0,0,0.0,37,569.07,0.0,0.03,0.0,0.0,Oct,2,2,1,1,Returning_Visitor,False,False
1,0.0,0,0.0,17,569.07,0.0,0.03,0.0,0.0,Oct,2,2,4,1,Returning_Visitor,False,False
1,7.0,0,0.0,17,569.07,0.0,0.03,0.0,0.0,Nov,2,2,4,2,Returning_Visitor,True,False
