Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2,84.25,0,34.63,32,1183.48,0.02,0.04,5.99,0.06,Oct,2,2,1,2,Returning_Visitor,False,False
0,80.03,0,34.63,32,1183.48,0.02,0.04,5.99,0.06,May,2,1,1,2,Returning_Visitor,False,False
0,80.03,0,0.0,32,900.9166667,0.027777778,0.04,5.99,0.06,May,1,2,8,2,Returning_Visitor,False,False
2,0.0,0,34.63,32,1183.48,0.2,0.2,5.99,0.06,Nov,4,1,1,10,Returning_Visitor,True,False
2,388.3,8,417.0,67,1183.48,0.02,0.04,24.27165,0.06,May,2,2,4,2,Returning_Visitor,False,False
2,80.03,0,34.63,32,0.0,0.2,0.2,5.99,0.06,Oct,2,2,1,3,Returning_Visitor,False,False
2,80.03,0,34.63,32,1183.48,0.019259259,0.04,5.99,0.0,Oct,4,1,1,2,Returning_Visitor,False,False
2,80.03,0,34.63,32,126.0,0.02,0.014285714,5.99,0.06,May,2,2,6,5,Returning_Visitor,False,False
0,80.03,0,34.63,11,242.9166667,0.0,0.04,5.99,0.06,Oct,2,10,1,2,Returning_Visitor,False,True
2,0.0,0,34.63,2,1183.48,0.02,0.04,5.99,0.06,May,2,2,1,1,Returning_Visitor,True,False
7,80.03,0,0.0,32,1954.754167,0.02,0.003225806,5.99,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
2,80.03,0,34.63,32,97.0,0.02,0.04,0.0,0.0,Mar,3,3,1,2,Returning_Visitor,False,False
1,58.0,0,34.63,33,1183.48,0.0,0.00625,5.99,0.06,Dec,2,2,1,2,Returning_Visitor,False,False
2,125.0,0,34.63,32,49.0,0.02,0.075,5.99,0.06,Oct,2,1,8,1,Returning_Visitor,False,False
2,80.03,0,34.63,1,1183.48,0.0,0.04,0.0,0.06,Oct,1,2,1,2,Returning_Visitor,True,False
2,0.0,0,34.63,32,1183.48,0.133333333,0.04,5.99,0.6,May,2,2,1,2,Returning_Visitor,False,False
2,0.0,0,34.63,32,1183.48,0.02,0.019428571,0.0,0.0,Oct,2,2,1,2,Returning_Visitor,False,False
2,80.03,0,34.63,77,1183.48,0.02,0.04,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
2,0.0,0,34.63,6,1183.48,0.02,0.066666667,0.0,0.0,Oct,2,2,7,3,Returning_Visitor,False,True
0,0.0,0,0.0,8,70.2,0.02,0.04,5.99,0.06,Oct,2,2,1,1,Returning_Visitor,False,False
2,0.0,0,0.0,32,1183.48,0.02,0.04,22.27457143,0.0,Oct,1,2,1,2,Returning_Visitor,False,True
2,81.6,0,34.63,32,2230.600476,0.02,0.04,5.99,0.0,Jul,2,2,1,2,Returning_Visitor,False,False
1,80.03,0,0.0,32,1183.48,0.016666667,0.04,0.0,0.0,Oct,2,2,1,2,Returning_Visitor,False,False
2,80.03,0,34.63,32,1183.48,0.007692308,0.013846154,5.99,0.06,Dec,2,2,4,2,Returning_Visitor,False,False
2,80.03,0,34.63,55,2570.42619,0.003508772,0.017278044,5.99,0.06,Oct,3,2,4,2,Returning_Visitor,False,False
11,225.22,2,34.63,32,1607.173333,0.02,0.033333333,0.0,0.06,Oct,2,2,1,2,Returning_Visitor,False,True
2,80.03,0,34.63,42,1183.48,0.02,0.002325581,5.99,0.06,Oct,2,2,1,2,Returning_Visitor,True,True
2,80.03,0,0.0,0,1183.48,0.02,0.066666667,0.0,0.8,May,1,1,8,2,New_Visitor,False,False
2,80.03,0,34.63,32,584.5,0.02,0.04,0.0,0.06,May,2,2,1,2,Returning_Visitor,False,False
2,80.03,0,0.0,32,1183.48,0.02,0.2,5.99,0.06,Dec,2,2,1,2,Returning_Visitor,False,False
2,80.03,0,34.63,32,1124.875,0.02,0.04,0.0,0.0,Nov,2,2,9,2,Returning_Visitor,False,True
