Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2,84.25,0,33.06,32,1210.0,0.02,0.04,6.44,0.06,Nov,2,2,1,2,Returning_Visitor,False,False
2,79.36,0,0.0,32,0.0,0.02,0.04,0.0,0.0,Oct,1,2,4,2,Returning_Visitor,False,False
0,0.0,0,0.0,19,1210.0,0.02,0.024814815,0.0,0.6,May,1,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,32,1210.0,0.02,0.04,0.0,0.06,Oct,2,2,1,2,Returning_Visitor,False,False
13,388.3,0,417.0,67,1210.0,0.02,0.01725,6.44,0.06,May,2,2,4,2,Returning_Visitor,False,False
2,0.0,0,0.0,32,1210.0,0.02,0.04,6.44,0.06,May,2,2,1,2,Returning_Visitor,False,False
2,79.36,0,0.0,32,1970.0,0.02,0.037925926,0.0,0.06,June,4,2,3,2,Returning_Visitor,False,False
2,90.0,0,33.06,4,126.0,0.02,0.014285714,0.0,0.0,Oct,2,2,1,5,New_Visitor,False,False
2,0.0,0,0.0,32,1210.0,0.0,0.04,6.44,0.0,Oct,2,2,1,2,Returning_Visitor,False,True
2,79.36,0,0.0,32,1210.0,0.02,0.04,6.44,0.0,Oct,2,2,6,1,Returning_Visitor,False,False
2,51.5,0,33.06,59,1210.0,0.02,0.003225806,0.0,0.0,Oct,2,2,3,2,Returning_Visitor,False,False
2,94.0,0,33.06,32,97.0,0.02,0.04,6.44,0.06,Mar,2,2,1,2,Returning_Visitor,False,False
2,58.0,0,33.06,32,1210.0,0.0,0.04,6.44,0.06,Oct,2,2,1,2,Returning_Visitor,False,False
2,125.0,0,0.0,7,1210.0,0.025,0.04,6.44,0.06,Oct,2,1,1,2,Returning_Visitor,False,False
2,79.36,0,0.0,32,1210.0,0.0,0.1,0.0,0.0,Oct,1,1,1,2,Returning_Visitor,True,False
0,0.0,0,33.06,12,103.0,0.133333333,0.04,6.44,0.6,Oct,2,2,1,2,Returning_Visitor,False,False
2,0.0,0,0.0,75,1210.0,0.02,0.04,6.44,0.0,Oct,2,2,1,2,Returning_Visitor,False,False
0,79.36,0,33.06,77,1210.0,0.02,0.04,6.44,0.06,Dec,2,1,3,2,Returning_Visitor,False,False
0,79.36,0,0.0,32,1210.0,0.033333333,0.04,6.44,0.06,Oct,2,2,1,2,Returning_Visitor,False,True
2,79.36,0,0.0,32,1210.0,0.025,0.061111111,6.44,0.06,Mar,2,2,1,1,Returning_Visitor,False,False
2,0.0,0,0.0,32,1210.0,0.0,0.04,22.27457143,0.06,Oct,1,2,1,2,Returning_Visitor,False,True
2,81.6,0,33.06,32,2230.600476,0.02,0.04,6.44,0.06,Oct,2,2,1,1,Returning_Visitor,False,False
1,108.0,0,33.06,32,1210.0,0.016666667,0.033386243,6.44,0.06,Oct,2,2,1,2,Returning_Visitor,False,False
2,79.36,0,33.06,32,805.7916667,0.02,0.013846154,6.44,0.0,Oct,2,2,4,2,Returning_Visitor,False,False
4,79.36,0,33.06,32,2570.42619,0.02,0.04,6.44,0.0,Oct,3,2,1,2,Returning_Visitor,True,False
2,225.22,2,106.8,68,1607.173333,0.02,0.04,0.0,0.0,Sep,2,2,1,3,Returning_Visitor,False,True
2,79.36,0,33.06,32,1210.0,0.02,0.04,80.04344186,0.0,Oct,2,2,1,4,Returning_Visitor,True,True
2,5.0,0,33.06,0,1210.0,0.02,0.04,6.44,0.06,Oct,1,1,8,2,Returning_Visitor,False,False
2,0.0,0,33.06,32,1210.0,0.02,0.04,6.44,0.06,Oct,4,2,1,4,Returning_Visitor,False,False
2,79.36,0,0.0,32,1210.0,0.02,0.2,6.44,0.0,Oct,2,2,1,13,Returning_Visitor,False,False
2,268.4166667,0,33.06,32,1210.0,0.0,0.04,0.0,0.06,Oct,2,2,1,2,Returning_Visitor,False,True
2,79.36,0,0.0,36,947.8833333,0.02,0.04,0.0,0.0,Oct,2,2,1,2,Returning_Visitor,False,False
7,79.36,0,33.06,27,1210.0,0.02,0.04,11.15668928,0.06,Oct,3,2,1,2,Returning_Visitor,False,False
0,79.36,0,33.06,32,0.0,0.2,0.04,6.44,0.06,Nov,2,2,1,2,New_Visitor,False,False
2,79.36,0,33.06,4,1210.0,0.02,0.026666667,6.44,0.06,Oct,1,2,1,10,Returning_Visitor,True,True
2,79.36,0,33.06,32,66.0,0.02,0.04,6.44,0.0,Oct,2,2,1,2,Returning_Visitor,False,False
9,79.36,0,33.06,32,743.4766667,0.02,0.04,6.44,0.0,Oct,2,2,1,2,Returning_Visitor,True,True
5,41.7,0,33.06,32,14568.16201,0.02,0.04,3.546315545,0.0,Oct,2,2,1,2,Returning_Visitor,False,True
2,59.53333333,0,33.06,32,183.65,0.0,0.04,6.44,0.0,Sep,2,2,1,2,Returning_Visitor,False,False
2,79.36,0,33.06,32,1210.0,0.02,0.044444444,6.44,0.06,Oct,2,2,1,20,Returning_Visitor,False,True
2,79.36,0,33.06,32,1210.0,0.02,0.055555556,0.0,0.0,Oct,2,2,1,2,Returning_Visitor,False,False
