Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,84.25,0,116.69,42,925.18,0.01,0.03,4.19,0.01,Nov,2,2,1,2,Returning_Visitor,False,False
1,25.66,0,0.0,16,0.0,0.07,0.06,0.0,0.0,Oct,1,1,4,3,Returning_Visitor,False,False
0,0.0,0,0.0,19,1087.09,0.01,0.024814815,0.0,0.6,May,1,1,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,11,650.37,0.07,0.12,0.0,0.09,Feb,2,2,1,1,Returning_Visitor,False,False
13,388.3,1,417.0,67,2468.08,0.01,0.01725,21.03,0.09,May,2,2,4,2,Returning_Visitor,False,False
1,0.0,0,0.0,23,920.23,0.06,0.07,5.44,0.12,May,2,2,1,3,Returning_Visitor,False,False
1,36.98,0,0.0,15,1970.0,0.01,0.037925926,0.0,0.02,June,4,2,3,2,Returning_Visitor,False,False
2,90.0,0,39.4,4,126.0,0.01,0.014285714,0.0,0.0,May,3,2,1,5,New_Visitor,False,False
1,0.0,0,0.0,18,790.2,0.0,0.04,2.55,0.0,Oct,2,2,1,4,Returning_Visitor,False,True
1,33.26,0,0.0,14,788.43,0.05,0.07,4.05,0.0,Mar,2,2,6,1,Returning_Visitor,False,False
4,51.5,1,72.08,59,1397.65,0.01,0.003225806,0.0,0.0,Oct,2,2,3,2,Returning_Visitor,False,False
5,94.0,1,129.22,31,97.0,0.01,0.02,4.16,0.01,Mar,2,2,1,2,Returning_Visitor,False,False
1,58.0,0,36.84,17,747.13,0.0,0.04,6.93,0.09,Mar,2,2,2,2,Returning_Visitor,False,False
3,125.0,0,0.0,7,1278.22,0.025,0.03,3.34,0.14,Feb,1,1,1,3,Returning_Visitor,False,False
1,28.06,0,0.0,12,464.75,0.0,0.1,0.0,0.0,Mar,1,1,2,3,Returning_Visitor,True,False
0,0.0,0,25.8,12,103.0,0.133333333,0.18,2.21,0.6,May,3,2,4,3,Returning_Visitor,False,False
4,0.0,0,0.0,75,1566.46,0.01,0.02,3.63,0.0,Oct,2,2,1,2,Returning_Visitor,False,False
0,86.78,0,76.21,77,1538.71,0.01,0.02,5.23,0.01,Dec,1,1,3,1,Returning_Visitor,False,False
0,27.34,0,0.0,18,626.01,0.033333333,0.07,1.99,0.1,Oct,2,2,1,1,Returning_Visitor,False,True
1,37.17,0,0.0,27,852.88,0.025,0.061111111,2.6,0.01,Mar,2,2,2,1,Returning_Visitor,False,False
1,0.0,0,0.0,12,612.99,0.0,0.02,22.27457143,0.06,May,1,1,1,4,Returning_Visitor,False,True
2,81.6,0,79.73,83,2230.600476,0.01,0.02,4.75,0.04,Oct,2,2,3,1,Returning_Visitor,False,False
1,108.0,0,85.81,44,1360.04,0.016666667,0.033386243,6.22,0.05,May,2,2,1,4,Returning_Visitor,False,False
2,46.02,0,40.9,17,805.7916667,0.01,0.013846154,4.22,0.0,Oct,2,2,4,4,Returning_Visitor,False,False
4,146.7,1,74.03,44,2570.42619,0.01,0.01,8.97,0.0,Mar,3,2,3,2,Returning_Visitor,True,False
6,225.22,2,106.8,68,1607.173333,0.02,0.02,0.0,0.0,Sep,2,2,1,3,Returning_Visitor,False,True
2,74.81,0,60.29,14,673.44,0.01,0.02,80.04344186,0.0,May,2,2,1,4,Returning_Visitor,True,True
2,5.0,0,60.92,0,916.62,0.01,0.03,3.49,0.02,May,1,1,8,3,Returning_Visitor,False,False
2,0.0,0,47.31,15,771.42,0.05,0.06,5.79,0.07,May,4,1,9,4,Returning_Visitor,False,False
0,17.93,0,0.0,18,694.75,0.19,0.2,2.68,0.0,Feb,2,2,1,13,Returning_Visitor,False,False
6,268.4166667,1,80.17,61,3076.8,0.0,0.02,0.0,0.09,Oct,2,2,1,4,Returning_Visitor,False,True
1,33.06,0,0.0,36,947.8833333,0.01,0.02,0.0,0.0,Oct,2,2,3,2,Returning_Visitor,False,False
7,80.58,0,46.42,27,1019.89,0.01,0.02,11.15668928,0.02,Mar,3,2,2,3,New_Visitor,False,False
0,20.98,0,51.33,33,0.0,0.2,0.19,2.19,0.01,Nov,1,2,2,2,New_Visitor,False,False
1,53.92,1,58.41,4,712.96,0.01,0.026666667,5.37,0.12,Mar,1,1,2,10,Returning_Visitor,True,True
1,45.24,0,39.03,15,66.0,0.02,0.04,6.97,0.0,Mar,2,2,6,2,Returning_Visitor,False,False
9,195.71,1,85.91,60,743.4766667,0.01,0.02,6.02,0.0,Oct,2,2,2,2,Returning_Visitor,True,True
5,41.7,1,154.96,78,14568.16201,0.01,0.06,3.546315545,0.0,Nov,2,2,1,4,Returning_Visitor,True,True
3,59.53333333,0,40.66,20,183.65,0.0,0.01,7.19,0.0,Sep,2,2,7,2,New_Visitor,True,False
1,41.62,1,69.12,21,624.63,0.01,0.044444444,3.59,0.16,Oct,2,2,1,20,Returning_Visitor,False,True
1,16.98,0,36.46,13,696.89,0.02,0.055555556,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
1,20.89,0,34.55,28,921.96,0.09,0.11,3.1,0.05,May,2,2,1,4,Returning_Visitor,False,True
2,43.93,0,0.0,21,708.79,0.02,0.004545455,2.99,0.02,Oct,2,2,2,1,Returning_Visitor,False,False
1,28.07,0,27.96,45,1116.49,0.0,0.013333333,2.85,0.05,Oct,2,2,1,4,New_Visitor,False,False
1,34.15,0,35.25,19,1024.63,0.08,0.09,0.0,0.09,May,2,2,2,5,Returning_Visitor,False,True
0,20.7,0,0.0,14,701.7,0.05,0.09,4.4,0.0,May,2,2,8,3,Returning_Visitor,False,False
5,159.22,1,92.73,13,1183.05,0.01,0.03,2.84,0.04,Oct,2,2,1,4,Returning_Visitor,False,False
2,40.0,2,49.32,17,830.82,0.024561404,0.04,32.64521053,0.0,May,2,7,3,1,Returning_Visitor,False,False
