Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0,0,0.0,0,0.0,0.0,0.03,0.0,0.0,Nov,2,2,1,4,New_Visitor,False,False
0,0.01,0,0.0,1,0.0,0.0,0.0,0.0,0.0,Oct,2,2,4,6,Returning_Visitor,False,False
0,0.0,0,0.0,0,900.92,0.0,0.0,0.0,0.6,Nov,1,2,4,1,Returning_Visitor,False,False
0,0.06,0,0.06,0,4.6,0.2,0.0,0.01,0.0,Mar,1,1,6,4,Returning_Visitor,True,False
13,388.3,0,0.0,0,6483.78,0.0,0.02,0.0,0.0,Mar,2,2,4,2,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.0,0.0,0.0,Oct,2,2,1,8,Returning_Visitor,False,False
0,0.0,0,0.0,0,1970.0,0.02,0.04,0.0,0.0,June,2,2,3,8,Returning_Visitor,False,False
0,90.0,0,0.0,0,0.03,0.0,0.0,0.0,0.0,May,2,2,4,5,New_Visitor,False,False
0,0.0,0,0.0,11,0.01,0.0,0.02,0.0,0.0,Nov,2,2,7,2,Returning_Visitor,False,True
0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,May,2,2,6,1,Returning_Visitor,False,False
7,0.0,0,0.0,59,0.0,0.0,0.0,0.0,0.0,Dec,2,2,4,6,Returning_Visitor,False,False
2,94.0,0,0.0,0,97.0,0.0,0.03,0.0,0.0,Nov,2,3,4,10,Returning_Visitor,False,False
0,0.01,0,0.0,33,647.62,0.0,0.0,0.0,0.0,Oct,2,2,4,6,Returning_Visitor,False,False
0,0.0,0,0.0,0,49.0,0.0,0.0,0.0,0.0,Nov,1,1,8,8,Returning_Visitor,False,False
0,0.0,0,0.0,1,487.0,0.0,0.0,0.0,0.0,Nov,3,1,6,10,Returning_Visitor,True,False
0,0.0,0,0.0,12,103.0,0.13,0.0,0.0,0.6,May,2,2,6,6,Returning_Visitor,False,False
0,0.0,0,0.0,75,1775.24,0.0,0.0,0.0,0.0,Oct,3,6,5,3,Returning_Visitor,True,False
0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Dec,1,2,5,1,Returning_Visitor,False,False
0,0.0,0,0.0,0,0.0,0.03,0.0,0.0,0.0,Nov,2,2,4,3,Returning_Visitor,False,True
0,0.0,0,0.0,8,70.2,0.0,0.06,0.0,0.0,Oct,2,2,8,4,Returning_Visitor,False,False
0,0.0,0,0.0,0,0.01,0.0,0.0,22.27,0.0,Mar,4,8,1,4,Returning_Visitor,True,True
0,81.6,0,0.0,0,2230.6,0.0,0.02,0.0,0.0,Oct,2,2,9,8,Returning_Visitor,False,False
0,0.0,0,0.0,0,0.0,0.0,0.03,0.0,0.0,Oct,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,39,0.0,0.01,0.0,0.0,0.0,Dec,2,2,4,6,Returning_Visitor,False,False
4,0.0,0,0.0,0,0.1,0.0,0.0,0.0,0.0,Nov,3,2,6,2,Returning_Visitor,True,False
11,0.0,0,0.0,0,1607.17,0.01,0.03,0.0,0.0,Oct,2,2,1,8,Returning_Visitor,False,True
0,28.0,0,0.0,0,1329.67,0.0,0.0,0.0,0.0,May,2,2,2,4,Returning_Visitor,False,True
0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,May,1,1,8,8,Returning_Visitor,False,False
0,0.0,0,0.0,22,584.5,0.0,0.0,0.0,0.0,May,2,1,4,6,Returning_Visitor,False,False
0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Oct,2,2,1,8,Returning_Visitor,False,False
0,0.0,0,0.0,0,1124.88,0.0,0.0,0.0,0.0,Nov,2,2,9,2,Returning_Visitor,False,True
0,0.0,0,0.0,36,0.0,0.0,0.01,0.0,0.0,Dec,2,2,1,8,Returning_Visitor,False,False
7,0.0,0,0.0,0,0.0,0.0,0.0,11.16,0.0,Jul,3,2,3,4,New_Visitor,False,False
0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Mar,2,2,4,2,New_Visitor,False,False
0,0.0,0,0.0,0,0.05,0.0,0.03,0.0,0.0,Nov,1,2,4,6,Returning_Visitor,False,True
0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
0,0.0,0,1312.4,26,0.0,0.0,0.02,9.28,0.0,Nov,2,7,4,6,Returning_Visitor,False,True
5,0.0,1,114.0,401,0.02,0.0,0.0,3.55,0.0,Oct,2,2,4,6,Returning_Visitor,False,True
4,59.53,0,0.0,0,183.65,0.0,0.0,0.0,0.0,Sep,2,2,6,6,New_Visitor,False,False
0,0.03,0,0.01,0,320.27,0.0,0.04,0.0,0.0,Oct,2,2,1,6,Returning_Visitor,False,True
0,0.0,0,0.0,0,103.83,0.0,0.06,0.0,0.0,May,2,2,4,6,Returning_Visitor,False,False
1,0.0,0,0.0,0,0.0,0.0,0.0,8.39,0.0,Oct,1,2,3,8,Returning_Visitor,False,True
0,0.0,0,0.0,21,0.03,0.01,0.0,0.0,0.0,Oct,2,2,4,6,Returning_Visitor,False,False
1,0.0,0,0.0,0,0.0,0.0,0.01,0.0,0.0,Oct,2,2,2,8,Returning_Visitor,False,False
6,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Oct,2,1,4,5,New_Visitor,False,True
0,0.01,0,0.0,0,0.43,0.0,0.0,0.0,0.0,Mar,2,2,6,4,Returning_Visitor,True,False
0,0.01,0,0.0,0,0.26,0.0,0.04,0.0,0.0,Oct,2,2,1,4,Returning_Visitor,False,False
0,0.0,2,162.0,17,0.01,0.0,0.0,0.0,0.0,Oct,2,2,3,4,Returning_Visitor,False,False
0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Oct,2,2,1,3,Returning_Visitor,False,False
10,0.0,0,0.0,39,0.03,0.0,0.0,112.44,0.0,Oct,2,2,7,6,Returning_Visitor,False,False
8,0.0,0,0.0,43,1110.58,0.0,0.01,0.0,0.0,Oct,2,2,6,3,Returning_Visitor,False,True
0,0.0,0,0.0,0,0.0,0.0,0.02,0.0,0.0,Mar,1,2,6,2,Returning_Visitor,False,False
0,0.0,0,0.0,12,0.0,0.0,0.01,0.0,0.0,May,4,5,4,2,Returning_Visitor,False,False
0,0.0,0,0.0,0,0.0,0.0,0.04,0.0,0.0,Mar,2,2,7,1,Returning_Visitor,False,False
2,0.0,0,0.0,6,0.0,0.0,0.02,0.0,0.0,Oct,2,1,1,8,Returning_Visitor,False,False
0,29.0,0,0.0,25,0.0,0.0,0.0,0.0,0.0,May,2,2,4,2,Returning_Visitor,False,False
10,164.07,0,0.0,37,0.02,0.0,0.0,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,7,343.25,0.0,0.03,49.36,0.0,Oct,3,2,6,7,Returning_Visitor,True,True
4,76.0,0,0.0,0,0.0,0.0,0.02,5.51,0.0,Mar,2,2,4,2,Returning_Visitor,False,False
0,0.0,0,0.0,0,0.0,0.0,0.02,0.0,0.0,Nov,2,2,4,3,Returning_Visitor,False,False
0,0.0,0,0.0,58,2034.26,0.01,0.04,0.0,0.0,Oct,2,2,1,8,Returning_Visitor,False,True
0,0.0,0,0.0,0,502.52,0.0,0.0,0.0,0.0,Oct,2,5,3,4,Returning_Visitor,False,False
0,0.0,0,0.0,0,210.5,0.0,0.0,0.0,0.0,Oct,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,0,0.51,0.0,0.0,0.0,0.0,May,3,2,6,2,Returning_Visitor,True,False
0,0.0,0,0.0,10,0.0,0.06,0.0,0.0,0.0,Mar,2,2,4,6,Returning_Visitor,False,False
0,0.0,0,0.0,0,1434.91,0.0,0.03,0.0,0.0,Dec,1,2,5,6,Returning_Visitor,False,False
1,0.0,0,0.0,15,0.03,0.0,0.0,43.03,0.0,Oct,1,1,4,6,Returning_Visitor,False,True
0,0.0,0,0.0,0,0.01,0.05,0.07,0.0,0.0,Oct,2,2,1,4,Returning_Visitor,False,False
9,0.0,0,0.0,0,1799.14,0.0,0.02,0.0,0.0,Oct,2,2,3,8,Returning_Visitor,False,False
0,0.0,0,0.0,0,0.03,0.0,0.0,0.0,0.0,Oct,1,1,7,6,Returning_Visitor,False,False
0,965.5,0,0.0,0,0.22,0.0,0.0,0.0,0.0,Oct,2,2,3,4,Returning_Visitor,True,False
0,0.0,0,0.0,26,0.0,0.0,0.0,35.98,0.0,Oct,2,5,3,8,Returning_Visitor,False,True
2,0.03,0,0.01,0,0.57,0.0,0.0,0.0,0.0,Oct,2,2,1,6,Returning_Visitor,False,False
5,0.05,0,0.0,0,0.7,0.0,0.02,0.0,0.0,Mar,2,2,1,4,Returning_Visitor,False,False
