Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2,90.97,0,11.21,24,800.71,0.01,0.031188811,7.7,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,7.11,0,0.0,1,0.0,0.18,0.2,0.0,0.03,Dec,1,1,1,3,Returning_Visitor,False,False
0,14.92,0,7.6,21,900.9166667,0.01,0.06,0.0,0.6,May,1,1,1,1,Returning_Visitor,False,False
0,7.4,0,11.4,1,0.0,0.2,0.2,6.15,0.0,Mar,1,1,2,3,Returning_Visitor,True,False
13,388.3,6,406.9,158,6483.775,0.00375,0.01725,15.18,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
0,5.77,0,0.0,1,0.0,0.2,0.2,0.24,0.03,Dec,3,2,1,3,Returning_Visitor,False,False
0,0.0,0,54.53,55,1970.0,0.019259259,0.037925926,6.51,0.0,June,3,2,3,1,Returning_Visitor,False,False
1,90.0,0,0.0,8,687.43,0.0,0.04,4.33,0.0,Dec,2,2,1,5,New_Visitor,False,False
4,114.17,0,17.66,11,205.77,0.0,0.02,14.92,0.0,Nov,2,2,7,2,New_Visitor,False,True
1,0.0,0,16.81,20,670.87,0.02,0.05,11.59,0.0,May,2,2,6,1,Returning_Visitor,False,False
7,241.01,1,0.0,59,2064.35,0.0,0.02,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
2,94.0,0,0.0,4,97.0,0.02,0.033333333,3.17,0.04,Dec,3,3,1,10,Returning_Visitor,False,False
4,109.66,0,15.09,33,647.625,0.0,0.01,10.5,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
1,108.18,0,0.0,2,49.0,0.01,0.04,5.32,0.0,Nov,1,1,8,3,Returning_Visitor,False,False
0,9.96,1,0.0,1,487.0,0.01,0.04,0.0,0.0,Dec,1,1,3,10,Returning_Visitor,True,False
0,0.0,0,71.82,12,103.0,0.133333333,0.14,0.0,0.6,May,2,2,4,3,Returning_Visitor,False,False
