Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
9,247.39,2,188.04,97,4543.57,0.04,0.03,10.75,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
0,72.14,0,11.05,1,0.0,-0.01,-0.02,0.0,-0.43,Feb,3,2,3,2,Returning_Visitor,False,False
0,-92.32,0,-210.73,15,900.92,0.05,0.05,-6.55,0.6,Jul,1,1,1,1,Returning_Visitor,False,False
-2,-134.54,1,52.45,32,1231.67,0.2,0.23,-6.22,0.0,Jul,1,1,3,6,Returning_Visitor,True,False
13,388.3,4,190.64,159,6483.78,0.0,0.02,-4.9,0.21,Oct,4,1,5,2,Returning_Visitor,True,False
0,-33.89,0,5.46,1,0.0,0.2,0.18,-5.72,-0.1,Nov,4,1,1,3,Returning_Visitor,False,False
0,0.0,0,-31.16,48,1970.0,0.02,0.04,0.6,0.0,June,1,1,3,9,Returning_Visitor,False,False
3,90.0,-1,0.0,28,78.99,0.0,0.04,-1.28,0.0,Feb,3,1,6,5,New_Visitor,True,False
6,194.33,2,144.11,11,864.84,0.01,0.02,23.97,0.0,May,2,2,7,2,Returning_Visitor,True,True
1,0.0,0,-137.87,38,3197.7,-0.04,-0.03,-15.44,0.0,May,2,2,6,1,Returning_Visitor,False,False
7,102.07,0,0.0,59,1884.55,-0.06,-0.05,0.0,-0.37,Dec,2,2,4,2,New_Visitor,False,False
2,94.0,1,0.0,34,97.0,0.03,0.03,3.08,0.21,Aug,4,3,2,10,Returning_Visitor,False,False
6,260.32,0,52.19,33,647.62,0.06,0.07,8.14,0.0,Dec,2,2,3,9,Returning_Visitor,False,False
-1,-273.32,2,0.0,-2,49.0,0.05,0.07,-34.01,-0.13,Jul,1,1,8,3,Returning_Visitor,False,False
1,26.38,1,0.0,1,487.0,0.09,0.11,0.0,0.0,Aug,4,1,2,10,Returning_Visitor,True,False
0,0.0,3,106.97,12,103.0,0.13,0.14,-41.61,0.6,May,2,2,1,5,Returning_Visitor,False,False
0,-10.11,1,53.74,75,1775.24,0.01,0.05,15.51,-0.07,Feb,2,6,5,3,Returning_Visitor,True,False
4,216.63,0,0.0,6,431.39,0.0,0.04,0.0,-0.1,Dec,1,1,1,1,Returning_Visitor,False,False
0,20.82,0,-64.01,25,602.29,0.03,0.05,11.45,0.0,Nov,2,2,4,3,Returning_Visitor,False,True
0,77.07,0,-31.35,8,70.2,0.06,0.06,9.25,0.14,Sep,2,1,8,3,Returning_Visitor,False,False
0,80.72,0,154.93,8,141.5,0.0,0.03,22.27,0.16,Oct,1,8,1,9,Returning_Visitor,True,True
3,81.6,1,0.0,15,2230.6,-0.03,0.02,0.0,0.0,Jul,2,2,9,6,Returning_Visitor,False,False
4,242.46,1,0.0,81,2510.75,0.05,0.03,35.95,0.0,Sep,2,2,1,1,Returning_Visitor,False,False
7,146.93,1,157.65,39,2587.65,0.01,0.03,0.0,-0.1,Dec,2,4,3,1,Returning_Visitor,True,False
