Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,84.25,0,0.0,17,1725.966667,0.0,0.01,-0.03,-0.0,Nov,2,2,2,2,Returning_Visitor,False,False
0,12.11,0,-0.12,-1,74.49,0.2,0.2,0.0,0.0,Mar,1,2,1,2,Returning_Visitor,False,False
3,31.54,0,-0.01,14,635.63,0.027777778,0.04,0.01,0.0,Feb,2,2,2,1,Returning_Visitor,False,False
0,0.0,0,-0.06,30,0.0,0.0,0.04,0.0,-0.0,Oct,4,2,1,2,Returning_Visitor,True,False
13,388.3,0,417.0,8,6483.775,0.0,0.03,24.27165,-0.0,Oct,2,2,1,2,Returning_Visitor,False,False
1,7.48,0,0.05,1,1670.82,0.0,0.02,0.02,-0.0,Mar,2,2,1,3,Returning_Visitor,False,False
2,0.0,0,0.0,16,557.47,0.01,0.037925926,0.0,0.0,June,4,2,2,3,Returning_Visitor,False,False
3,90.0,0,0.0,4,577.72,0.0,0.01,-0.02,0.0,Mar,2,2,2,5,New_Visitor,False,False
0,0.0,0,0.0,20,242.9166667,0.0,0.01,16.16057924,0.0,Dec,2,2,7,2,Returning_Visitor,False,True
0,34.57,0,-0.09,2,909.82,0.0,0.02,0.0,0.0,Nov,2,2,6,4,Returning_Visitor,False,False
7,51.5,0,0.02,59,1954.754167,0.0,0.02,-0.01,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
0,24.09,0,0.14,21,526.59,0.0,0.02,0.0,0.0,Mar,2,3,1,4,Returning_Visitor,False,False
1,33.15,0,-0.09,33,738.29,0.0,0.00625,-0.01,0.0,Dec,2,2,2,2,Returning_Visitor,False,False
2,16.97,0,0.0,17,646.84,0.01,0.04,-0.0,0.0,May,1,1,8,2,Returning_Visitor,False,False
0,63.39,0,0.0,6,831.03,0.0,0.04,-0.01,0.0,Nov,1,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,24,449.65,0.0,0.02,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,-0.05,20,1775.241667,0.0,0.02,-0.01,0.0,Nov,2,6,5,3,Returning_Visitor,False,False
2,32.12,0,0.0,77,1051.31,0.01,0.03,0.0,0.0,Oct,2,1,3,4,Returning_Visitor,False,False
3,0.0,0,0.0,18,374.82,0.0,0.03,0.01,0.0,Oct,2,2,2,3,Returning_Visitor,False,True
