Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4,112.4,0,0.29,42,1725.97,0.0,0.02,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.29,5,0.0,0.2,0.2,1.33,0.0,May,1,5,3,7,Returning_Visitor,False,False
1,41.88,0,0.29,42,1546.12,0.0,0.02,1.52,0.6,May,1,1,1,1,Returning_Visitor,False,False
0,0.32,0,0.0,5,0.0,0.2,0.2,0.0,0.0,Nov,2,4,1,10,Returning_Visitor,True,False
13,469.64,1,40.92,67,2622.16,0.0,0.02,21.36,0.0,May,2,4,1,2,Returning_Visitor,False,False
1,41.88,0,0.29,1,0.0,0.2,0.2,0.0,0.0,May,2,5,1,11,Other,False,False
1,41.88,0,0.29,5,147.82,0.0,0.04,1.33,0.26,June,1,1,3,3,Returning_Visitor,False,False
1,41.88,0,0.29,42,1546.12,0.0,0.02,1.52,0.0,May,2,2,3,7,Returning_Visitor,False,False
0,0.32,0,0.0,5,242.92,0.0,0.02,1.72,0.0,Dec,2,10,1,2,Returning_Visitor,True,True
1,41.88,0,0.29,2,147.82,0.0,0.04,1.33,0.0,Aug,1,1,8,3,Returning_Visitor,False,False
4,112.4,0,0.29,59,1954.75,0.0,0.0,24.09,0.69,May,2,4,8,4,Returning_Visitor,False,False
1,41.88,0,0.29,5,97.0,0.0,0.03,0.0,0.0,Mar,2,3,1,13,Returning_Visitor,False,False
1,41.88,0,0.0,42,1546.12,0.0,0.02,0.0,0.0,May,1,5,1,11,Returning_Visitor,False,False
2,47.85,0,0.0,7,147.82,0.02,0.08,1.33,0.0,May,1,1,8,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,147.82,0.03,0.1,1.72,0.26,Aug,1,1,4,10,Returning_Visitor,False,False
1,41.88,0,0.0,42,1546.12,0.0,0.02,0.0,0.6,May,1,1,3,13,Returning_Visitor,False,False
4,112.4,0,0.29,42,1775.24,0.0,0.02,24.09,0.0,Mar,2,5,3,6,Returning_Visitor,False,False
1,41.88,0,0.29,42,1546.12,0.0,0.02,1.52,0.0,Dec,1,1,3,1,Returning_Visitor,False,False
0,0.0,0,0.29,5,60.25,0.03,0.06,0.0,0.0,Nov,2,2,8,1,Returning_Visitor,False,True
0,0.0,0,0.0,5,70.2,0.0,0.04,1.33,0.0,Nov,1,1,1,1,Returning_Visitor,False,False
0,0.0,0,0.29,29,1137.17,0.0,0.01,1.52,0.16,Aug,1,1,1,11,Returning_Visitor,True,True
6,209.88,1,40.92,32,1036.19,0.0,0.02,24.09,0.69,May,1,1,9,5,Returning_Visitor,False,False
1,41.88,0,0.29,37,1546.12,0.0,0.02,1.52,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
0,0.32,0,0.0,39,1546.12,0.0,0.02,1.52,0.26,May,2,2,3,1,Returning_Visitor,False,False
2,47.85,0,0.29,42,1546.12,0.0,0.02,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
11,225.22,2,106.8,68,2622.16,0.01,0.02,63.86,0.0,Aug,2,5,1,3,New_Visitor,False,True
2,28.0,0,0.29,40,1329.67,0.0,0.02,1.52,0.0,Aug,2,2,8,3,Returning_Visitor,False,True
2,5.0,0,0.0,0,147.82,0.0,0.04,0.0,0.26,May,1,1,3,5,New_Visitor,False,False
2,47.85,0,0.29,21,584.5,0.01,0.02,0.0,0.69,May,1,1,1,13,Returning_Visitor,False,False
0,0.32,0,0.29,42,1546.12,0.0,0.02,0.0,0.0,Mar,1,1,1,13,Returning_Visitor,False,False
1,41.88,0,0.29,41,1546.12,0.0,0.02,0.0,0.0,Nov,2,2,9,2,Returning_Visitor,False,True
2,14.0,0,0.0,36,1546.12,0.0,0.02,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,True,False
8,301.08,0,0.0,27,1538.06,0.01,0.02,11.16,0.0,Nov,3,5,1,1,Returning_Visitor,False,False
