Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,-153.38,0,150.51,52,-650.09,0.0,0.031188811,2.59,0.0,Nov,2,2,1,2,New_Visitor,True,False
5,50.86,1,74.11,43,929.53,0.0,0.01,8.78,0.01,May,2,4,4,3,Returning_Visitor,False,False
1,0.0,0,0.0,36,1285.09,0.027777778,0.06,-0.67,0.13,Oct,1,1,3,1,Returning_Visitor,False,False
-2,-62.01,0,0.0,12,0.0,0.14,0.2,0.0,-0.13,Nov,4,1,1,3,Returning_Visitor,True,False
13,388.3,8,417.0,137,5926.04,-0.0,0.01725,-4.51,0.13,Mar,3,2,2,2,Returning_Visitor,False,False
1,0.0,0,0.0,3,-208.38,0.2,0.2,-2.29,0.05,Mar,3,2,1,1,Returning_Visitor,False,False
1,0.0,0,11.95,45,1652.54,0.019259259,0.04,10.3,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
3,77.97,0,-30.95,4,126.0,0.02,0.04,0.0,0.0,Mar,2,2,6,1,Returning_Visitor,False,False
0,31.62,3,121.58,-54,-4180.63,0.0,0.02,16.16057924,0.0,Dec,2,10,7,2,Returning_Visitor,True,True
0,51.74,0,-17.41,4,19.0,0.09,0.1,23.42,0.0,June,3,2,6,4,Returning_Visitor,True,False
7,51.5,0,26.3,54,203.84,0.0,0.02,0.0,-0.02,Oct,2,2,3,1,Returning_Visitor,False,False
1,125.18,0,-10.46,74,3118.46,0.02,0.033333333,0.0,0.0,Nov,3,2,1,10,Returning_Visitor,False,False
1,58.0,0,0.37,33,647.625,0.02,0.00625,21.62,0.02,Dec,3,2,3,10,Returning_Visitor,False,False
1,22.23,0,0.0,37,1300.91,0.025,0.06,2.59,0.13,Oct,1,1,3,1,Returning_Visitor,False,False
1,0.0,0,0.0,36,2128.42,0.01,0.03,-1.17,0.0,Oct,1,1,2,10,Returning_Visitor,False,False
0,0.0,0,13.39,8,40.98,0.133333333,0.18,0.18,0.06,May,2,2,1,3,Returning_Visitor,False,False
1,-20.63,0,0.0,14,385.88,0.03,0.04,0.0,-0.06,Feb,2,4,4,3,Returning_Visitor,True,False
1,30.42,0,1.61,77,2268.64,0.01,0.03,-7.45,-0.08,Dec,1,2,3,2,Returning_Visitor,False,False
2,65.2,0,0.0,6,340.94,0.01,0.04,0.0,-0.01,Mar,2,2,2,1,Returning_Visitor,False,True
