Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
6,260.09,3,105.37,52,3697.35,0.0,0.031188811,27.37,0.0,Nov,2,2,1,1,Returning_Visitor,True,False
0,-205.34,0,29.99,3,0.0,-0.02,0.03,-1.59,0.0,May,2,1,1,3,Returning_Visitor,False,False
-2,-97.85,0,61.16,23,900.9166667,0.027777778,0.07,0.0,0.6,May,1,1,8,1,Returning_Visitor,False,False
0,170.37,0,0.0,1,358.84,0.2,0.22,-35.02,0.0,Nov,1,1,9,1,Returning_Visitor,False,False
13,519.35,2,201.97,67,6483.775,0.00375,0.02,-5.71,0.07,May,2,2,3,3,Returning_Visitor,False,False
-5,-64.23,0,0.0,33,0.0,0.19,0.2,9.88,0.47,May,2,1,1,3,Returning_Visitor,False,False
2,283.07,2,121.41,45,1655.08,0.07,0.09,1.32,0.0,June,1,1,3,3,Returning_Visitor,False,False
0,-41.41,0,0.0,2,126.0,0.0,0.04,27.76,0.27,May,3,2,9,5,New_Visitor,False,False
-1,0.0,0,0.0,47,2369.82,0.0,0.02,16.16057924,-0.12,Feb,2,2,5,2,Returning_Visitor,True,True
4,100.9,0,-19.13,-8,19.0,0.03,0.06,1.97,0.5,May,2,2,9,1,Returning_Visitor,False,False
7,51.5,-1,-419.49,49,1954.754167,0.0,0.003225806,27.65,0.01,Dec,2,2,9,2,Returning_Visitor,False,False
2,-98.36,0,0.0,-72,97.0,-0.01,0.033333333,0.0,0.12,May,1,3,6,2,Returning_Visitor,False,False
3,238.39,1,0.0,33,231.23,0.0,0.03,0.0,0.0,Nov,3,2,1,2,New_Visitor,False,False
2,-79.64,0,78.19,7,-850.84,0.025,0.075,21.73,0.22,May,1,1,7,1,Returning_Visitor,False,False
0,0.0,0,9.79,1,487.0,-0.03,-0.01,20.78,0.01,Nov,2,1,1,2,Returning_Visitor,True,False
