Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4,37.17,0,11.6,52,1625.4,0.0,0.03,0.02,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,7.85,0,2.96,17,0.0,0.13,0.13,0.15,0.0,May,1,2,1,3,Returning_Visitor,False,False
2,17.81,0,4.9,37,900.92,0.03,0.07,0.0,0.6,May,1,2,8,3,Returning_Visitor,False,False
1,17.01,0,0.0,1,1536.15,0.2,0.13,0.08,0.0,Nov,1,1,3,3,Returning_Visitor,True,False
13,139.37,0,3.89,67,6483.77,0.0,0.01,1.96,0.02,May,2,2,2,2,Returning_Visitor,False,False
3,12.26,0,0.0,2,0.0,0.14,0.2,0.08,0.02,May,2,2,1,3,Returning_Visitor,False,False
1,0.4,0,3.47,45,1527.3,0.0,0.08,0.08,0.0,June,1,2,3,3,Returning_Visitor,False,False
1,21.84,0,0.0,17,126.0,0.01,0.02,0.08,0.02,May,2,2,1,5,New_Visitor,False,False
3,0.0,0,0.0,44,1366.81,0.0,0.02,16.16,0.02,May,2,2,1,3,Returning_Visitor,True,True
0,2.19,0,2.65,6,19.0,0.01,0.14,0.22,0.08,May,2,2,3,3,Returning_Visitor,False,False
7,51.5,0,1.25,46,1954.75,0.0,0.0,0.78,0.01,Dec,2,2,3,2,Returning_Visitor,False,False
2,10.49,0,0.0,56,97.0,0.0,0.03,0.0,0.02,May,2,3,1,3,Returning_Visitor,False,False
3,98.04,0,0.0,33,931.35,0.0,0.05,0.0,0.0,Nov,2,2,6,2,New_Visitor,False,False
2,32.77,0,6.42,7,896.87,0.03,0.08,0.09,0.64,May,1,1,1,1,Returning_Visitor,False,False
0,0.0,0,3.18,1,487.0,0.0,0.09,0.07,0.01,Nov,3,2,1,2,Returning_Visitor,True,False
1,12.71,0,2.9,12,1664.65,0.0,0.17,0.0,0.6,May,2,2,1,3,Returning_Visitor,False,False
1,0.58,0,4.03,75,1522.49,0.0,0.02,0.06,0.01,Nov,1,1,1,3,Returning_Visitor,True,False
0,0.0,0,3.59,77,395.72,0.0,0.06,0.0,0.0,Dec,1,1,3,3,Returning_Visitor,False,False
0,0.0,0,3.27,6,284.32,0.03,0.07,0.03,0.01,May,2,2,1,3,Returning_Visitor,False,True
1,15.1,0,4.1,23,261.18,0.0,0.07,0.0,0.0,Mar,3,2,8,1,Returning_Visitor,False,False
0,0.0,0,1.11,29,1419.31,0.01,0.02,46.14,0.03,Nov,1,2,1,11,Returning_Visitor,True,True
4,81.6,0,217.07,32,2230.6,0.02,0.02,0.1,0.0,May,3,2,3,1,Returning_Visitor,False,False
3,108.0,0,0.0,37,1628.37,0.0,0.06,0.04,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
1,0.0,0,6.36,62,1550.3,0.0,0.08,0.0,0.01,Mar,2,2,4,1,Returning_Visitor,False,False
3,57.61,0,0.0,41,1548.62,0.0,0.02,0.11,0.0,Nov,3,2,4,2,Returning_Visitor,True,False
1,33.62,0,2.88,42,1317.69,0.0,0.13,0.04,0.02,Sep,2,2,1,1,Returning_Visitor,False,True
4,28.0,0,6.87,33,1397.32,0.01,0.08,41.51,0.02,May,2,2,1,4,Returning_Visitor,True,True
2,53.3,0,5.85,45,1199.78,0.0,0.07,0.0,0.8,May,1,1,1,5,New_Visitor,False,False
0,0.0,0,0.0,22,584.5,0.01,0.04,0.0,0.0,May,2,2,9,4,Returning_Visitor,False,False
0,0.0,0,2.56,56,0.0,0.2,0.2,0.04,0.02,Dec,2,2,1,1,Returning_Visitor,False,False
3,38.88,0,0.0,41,1802.03,0.0,0.06,0.0,0.01,Nov,2,2,1,2,Returning_Visitor,False,True
3,63.83,0,1.51,36,947.88,0.0,0.01,3.49,0.0,May,2,2,1,3,Returning_Visitor,False,False
3,301.08,0,0.0,41,1538.06,0.0,0.07,0.07,0.0,May,2,2,3,3,Returning_Visitor,False,False
0,11.3,0,3.32,1,0.0,0.08,0.06,0.0,0.0,Nov,8,2,9,2,Returning_Visitor,False,False
1,12.98,0,2.13,6,269.93,0.0,0.04,0.1,0.01,May,1,1,1,2,Returning_Visitor,False,True
0,0.58,0,3.89,4,66.0,0.0,0.03,0.56,0.01,May,2,2,4,2,Returning_Visitor,False,False
8,68.11,0,1312.4,28,743.48,0.0,0.08,9.28,0.02,Nov,2,2,3,3,Returning_Visitor,True,True
4,88.91,0,151.83,401,1202.08,0.01,0.05,3.55,0.0,May,2,2,1,2,Returning_Visitor,False,True
3,59.53,0,3.85,51,183.65,0.0,0.07,0.0,0.02,Sep,2,2,1,2,Returning_Visitor,False,False
2,37.38,1,3.52,44,320.27,0.0,0.09,17.8,0.02,Oct,2,2,1,20,Returning_Visitor,False,True
0,4.02,0,0.0,18,103.83,0.0,0.07,0.01,0.01,May,2,2,3,2,Returning_Visitor,False,False
1,16.43,0,7.41,44,1555.57,0.0,0.1,8.39,0.01,May,1,1,3,3,Returning_Visitor,False,True
3,75.76,0,0.0,51,1494.5,0.0,0.02,0.0,0.0,Mar,2,2,7,2,Returning_Visitor,False,False
3,0.0,0,0.0,65,1296.0,0.0,0.1,0.03,0.0,Nov,2,2,2,3,Returning_Visitor,False,False
2,5.18,0,3.09,14,858.2,0.02,0.08,0.05,0.0,May,4,1,3,3,Returning_Visitor,False,True
0,2.13,0,0.0,18,1589.92,0.02,0.12,0.0,0.0,Nov,3,2,8,2,Returning_Visitor,True,False
3,176.25,0,2.54,13,1183.05,0.0,0.04,0.11,0.02,Dec,2,2,1,2,Returning_Visitor,False,False
3,35.52,0,162.0,36,481.67,0.01,0.04,32.65,0.01,Mar,2,7,1,2,Returning_Visitor,False,False
0,1.3,0,4.86,11,243.67,0.0,0.07,0.0,0.02,Mar,3,2,1,3,Returning_Visitor,False,False
6,593.47,0,4.44,39,1644.53,0.0,0.11,112.44,0.02,Sep,2,2,1,3,Returning_Visitor,False,False
3,16.29,0,3.56,43,1747.86,0.0,0.01,0.06,0.0,Nov,3,2,1,3,Returning_Visitor,False,True
4,98.05,0,3.54,45,669.97,0.0,0.02,0.06,0.01,Mar,2,2,6,3,Returning_Visitor,False,False
0,8.64,1,5.08,12,276.0,0.0,0.01,16.74,0.02,May,2,5,1,2,New_Visitor,False,False
0,0.91,0,3.89,9,250.5,0.01,0.04,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,True,False
2,98.15,0,1.61,6,162.75,0.0,0.03,0.0,0.02,May,1,1,1,2,Returning_Visitor,False,False
1,4.74,0,1.58,43,381.36,0.0,0.09,0.1,0.8,May,2,2,1,13,Returning_Visitor,True,False
10,141.48,0,0.0,97,1024.37,0.01,0.09,1.01,0.02,Sep,2,2,1,2,Returning_Visitor,False,False
1,15.8,0,3.39,48,1814.75,0.0,0.05,49.36,0.0,Nov,2,2,1,7,Returning_Visitor,True,True
3,63.9,1,8.8,48,1542.71,0.0,0.06,5.51,0.0,May,4,2,1,2,Returning_Visitor,False,False
1,0.0,0,4.69,57,1372.57,0.0,0.02,0.02,0.01,Nov,3,2,6,3,Returning_Visitor,False,False
4,47.12,0,0.0,66,1454.23,0.01,0.08,0.06,0.0,Nov,2,2,1,1,Returning_Visitor,False,True
